job_id,budget,task_id,method,seed,candidate_attempt,SUN
budget-final-made-de4b07758928f3ec69fc5ba8,30,Ca-Fe-Gd-Pb-Tb,baseline,1,29,0
budget-final-made-de4b07758928f3ec69fc5ba8,30,Ca-Fe-Gd-Pb-Tb,baseline,1,30,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,0,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,1,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,2,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,3,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,4,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,5,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,6,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,7,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,8,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,9,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,10,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,11,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,12,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,13,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,14,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,15,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,16,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,17,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,18,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,19,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,20,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,21,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,22,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,23,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,24,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,25,0
