benchmark,model_key,model_revision,budget,task_id,seed,method,status,job_id,SUN,mSUN,AUDC,observed_scientific_responses,interim_SUN,raw_result_sha256,receipt_sha256,scope_registration_sha256
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Hg-Mg-Sr-W,1,baseline,complete,all30-final-made-d9145d771ec6fc6924d7a738,0,0.0,0.0,10,,1a5a3cf0a5e41692da9533751985e9953095811703a9a0bb12617dd5855e334b,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Hg-Mg-Sr-W,1,esopt_graph_risk,complete,all30-final-made-32f7c3901d238e4cf22c39b3,0,0.0,0.0,10,,e2293bf9d923e971476f2649448d53f80e2d6b2ca6c34d09339d94b610fdda53,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Mg-Na,1,baseline,complete,extension-final-made-6984f2ad558abdeabef13188,0,0.0,0.0,10,,96006847f53af43ff19525c1d4fdc8bac39b6a0234b3d347375de4f3f18af4ac,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Mg-Na,1,esopt_graph_risk,complete,extension-final-made-1c68af5110c5af1dffea6c7d,0,0.0,0.0,10,,60f75b2fc8286f89d8aa3906662fcfb5b8b789ef5d396d19cf68941e2b578c6e,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Pd-Tl,1,baseline,complete,all30-final-made-7d6cba0dbc20d964713362bb,0,0.0,0.0,10,,a884733b7080d85f09d4293ac7050c4cf6bd8bb5cef34fd0683a1678b702002e,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Pd-Tl,1,esopt_graph_risk,complete,all30-final-made-45444501a86d93fedab34138,0,0.0,0.0,10,,8cc94de05ceaf97fbaa13d2bcaa0a58d395ce819e6292a93082341c9b82b8fc3,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Cr-Fe-Lu-Pt-Sc,1,baseline,complete,all30-final-made-fc32992f7efefd416e04c208,0,0.0,0.0,10,,d3facd023eaf63f9c8568bbeefc290cfa10af94321b49eaa94e0bcd8021cba3b,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Cr-Fe-Lu-Pt-Sc,1,esopt_graph_risk,complete,all30-final-made-2f9df183906d1a04875a9fe2,0,0.0,0.0,10,,02bb423ec38a0bd8f1dd629a2cfe1ff6605f72f97752213777880abe652ab610,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Dy-K-Pd-Sm,1,baseline,complete,all30-final-made-1500a7c5b01112deaf43bfe9,0,0.0,0.0,10,,cd9df808c1947e21be16f835a89776b29233ab38b3db05170178df277eef0947,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Dy-K-Pd-Sm,1,esopt_graph_risk,complete,all30-final-made-209ea82da301af23164f595b,6,0.6,0.6,10,,c12d8d539ad7f39c4e3a86d4d4bae734acbc18d6011322dc078195c13f187b13,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Eu-Nb-Sn-Tl,1,baseline,complete,all30-final-made-097dbe77e9aa0571f74bbc31,0,0.0,0.0,10,,68d36aa377d4ec146c8fd66b840d32250ded2d8c5b75c1d292d2e67d85b68e5d,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Eu-Nb-Sn-Tl,1,esopt_graph_risk,complete,all30-final-made-f5c545c2fcf285a7aedc552f,0,0.0,0.0,10,,88e2d83bf5ffb7b69c2c2e83a62d45545d5a5673cc1ad4f248d5825d1beb7e03,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ga-Ho-Lu,1,baseline,complete,all30-final-made-8edd5f6703feaba4b1671ead,5,0.5,0.49,10,,dbaefff87f474e98d14d25babdcd6429040ecd017400ced46e9291de66f539ea,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ga-Ho-Lu,1,esopt_graph_risk,complete,all30-final-made-81c94354919004cb52bc537d,5,0.5,0.49,10,,8824a091a46e7d753b3892eba3e6b4c3dd3a1aeb36c099062e069cabdf856b0b,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ga-Pt-Tm,1,baseline,complete,all30-final-made-22cfaf1606682d9c38bc278d,6,0.6,0.5,10,,b9cb9cc531a0b002710d5d1623cbfd1d62a876a5863d6a0e706e6777c9916c89,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ga-Pt-Tm,1,esopt_graph_risk,complete,all30-final-made-2925f7a866c2a8d1c36841e7,3,0.3,0.33,10,,916bdf48ff7c06acedc386e314327c9d5e225ebe3646e226ce47969e397df29d,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Hf-Ni-Zr,1,baseline,complete,all30-final-made-29a6382ae615c1a04e459653,2,0.2,0.3,10,,5ffb00f3d45077ee5d7fedbea56990a610ec2596ace70268e403de9f605382c6,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Hf-Ni-Zr,1,esopt_graph_risk,complete,all30-final-made-2436e44814e8d16489bec879,2,0.2,0.2,10,,e42940d30167591fc8694c5f5a9de928c27620b158c52f5cf99b37f05cd8d4de,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ho-In-Mg-Pd-Zr,1,baseline,complete,all30-final-made-c62306db0d2beb6139233c35,0,0.0,0.0,10,,35dcb4bcf086be6b5223230f970516f60cc479c8a879e48b94560bebc98220e1,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ho-In-Mg-Pd-Zr,1,esopt_graph_risk,complete,all30-final-made-8142bd6bae65cd46fdff2387,0,0.0,0.0,10,,4021b5b0ebba30f5ba83077f6884ec93e27f09d3c6cc504d3331b7d814d2f7f0,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Mg-Sn-Sr,1,baseline,complete,all30-final-made-a0c7b559824ee92973b466f7,7,0.7,0.67,10,,797692a6c5dc4ac323ead3b4f3dca2295279b0348ba324c80281ae96d4aecad9,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Mg-Sn-Sr,1,esopt_graph_risk,complete,all30-final-made-28020e03780ed5e0ab044caf,7,0.7,0.79,10,,f375b0cd19fc013f162c9d3dc1dda4a26083b0c56fd2c4db5caf5ebb9232cf62,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Ag-Nd-Pd-Pt-Tb,1,baseline,complete,budget-final-made-3cbf899afb7e6857dc3f0d91,11,0.36666666666666664,0.3011111111111111,30,,5dfd5c9211283b706afd765c6a07603f65d2eef605198d403f4c2186f3bb73b7,34530916f19d9e128308861c8f87d3a1a94a97fb33a7bcddf0f83a485e8a87ab,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Ag-Nd-Pd-Pt-Tb,1,esopt_graph_risk,complete,budget-final-made-254ea063e97b94a2948a97a4,9,0.3,0.3433333333333333,30,,4f4c1569e585e7d3c17aff6161512bc15e0b42d166b19479a00d49187ee7d70d,ac078e1f0f468a99145f36303300e5611ce14989f7e691677d8284dd8630faad,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Al-Hg-K-Mg-W,1,baseline,complete,budget-final-made-751d44c311ae19cdcad7928a,0,0.0,0.0,30,,8f52489340df6c66a7d98367cf165bd7b9ebbcfaab3e8ba06f50701a3c7e124b,fccbdd6af52476f71f0c939b567a351a285fceec0595715dfd091973999c7783,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Al-Hg-K-Mg-W,1,esopt_graph_risk,complete,budget-final-made-a84f6d9aaecd2f95c23db994,0,0.0,0.0,30,,cc1e08084847b9b6f66cc8ecf58ff62d0528ca70562a6efba66627c1b30961a4,d7bbb098fcf1e17ac636dcb5d27491d6641fa4bc65d7ec8b308160ee45f3c384,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Al-Li-V,1,baseline,complete,budget-final-made-4f87ce88320a28f3fae38bb5,7,0.23333333333333334,0.3055555555555556,30,,0e55b8c13ce8e87041c928a9a2f586a9a381a362232e8321f39b7949584418a0,766741c774477105c666a69070be4e98c465f61179a93522e29ebac3878d4063,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Al-Li-V,1,esopt_graph_risk,complete,budget-final-made-1d442216631233be5637f631,3,0.1,0.15,30,,935fee5f7b382a51867bbbdaf853024a76a77bd4de85f2a87d3fca86ec652ee7,58bf701114121bdffcbbbf8591dbb55974e2bf7d4f18b9159ed5d2e46334375f,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Al-Lu-Pt-Rb-Sm,1,baseline,complete,budget-final-made-6f29791a00d583f708b055ad,0,0.0,0.0,30,,cfb854945e89fa0315c7be8ea40c48875e1efdaa76eee324f52e291c0ba27c60,cbee5447e949a2c920ea732b86b8d8fcbb5d3b0f0dc54b81ce180ac6785ce99b,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,30,Al-Lu-Pt-Rb-Sm,1,esopt_graph_risk,complete,budget-final-made-e89ce15810f410ebf6c2ce79,0,0.0,0.0,30,,f1bc1f829ee2bbd61b2ab0cd317118848dcbb42a03e12cd2f4d0af19e80a34ee,fd696af21c801c9802c7764d3f489981bc27e564fc1546fa57ba367e76972d16,a262aab6be0639ee55bb33e1a2af98325ac2f511e774c54027e653c9ba59f507
