job_id,budget,task_id,method,seed,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,wall_seconds,initialization_wall_seconds,graph_seconds
budget-final-made-16b918b793239e8a99966f5b,30,Ce-Ir-Pt-Sn,baseline,1,30,45,445,1932.042607977055,196.76199269574136,0
budget-final-made-262660dfe20db2bf5f76fd1f,30,Co-Dy-Ta-Y,baseline,1,30,32,567,2832.406490023248,97.56893498450518,0
budget-final-made-06f81b4369ee9018526cd3b1,30,Dy-K-Pd-Sm,baseline,1,30,17,437,3105.4768899129704,45.06235155882314,0
budget-final-made-82f6c7518cee0a7d9a7c0d28,30,Eu-Nb-Sn-Tl,baseline,1,30,21,531,2785.990404859185,40.37057134695351,0
budget-final-made-3cbf899afb7e6857dc3f0d91,30,Ag-Nd-Pd-Pt-Tb,baseline,1,30,53,578,2880.0372798270546,93.58898354880512,0
budget-final-made-751d44c311ae19cdcad7928a,30,Al-Hg-K-Mg-W,baseline,1,30,59,399,2914.7896341402084,103.33606893848628,0
budget-final-made-6f29791a00d583f708b055ad,30,Al-Lu-Pt-Rb-Sm,baseline,1,30,46,518,3346.7029485800304,106.20597277302295,0
budget-final-made-de4b07758928f3ec69fc5ba8,30,Ca-Fe-Gd-Pb-Tb,baseline,1,30,23,321,1551.1495322808623,60.87455661594868,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,30,17,489,3207.931915964,47.37570460513234,0
budget-final-made-bddfff2e8be0e2e021389547,30,Cd-Li-Nd-Ti-W,baseline,1,30,21,476,4169.1233206610195,40.63360027130693,0
budget-final-made-c3eb2f7011caf4b6e10457c7,30,Co-Hf-In-Ru-Tm,baseline,1,30,42,697,2646.5694147730246,111.96680971328169,0
budget-final-made-e1e84092306de12ec73ae8fb,30,Co-Hg-Mg-Sr-W,baseline,1,30,78,691,4813.333440016955,129.6788066518493,0
budget-final-made-e9a7da445d7240ef049e95a9,30,Cr-Fe-Lu-Pt-Sc,baseline,1,30,32,712,2015.7697029365227,64.28584460262209,0
budget-final-made-1eb7afc5ad399f91ae53aef8,30,Ho-In-Mg-Pd-Zr,baseline,1,30,126,341,1485.0568882888183,204.20633175224066,0
budget-final-made-1d442216631233be5637f631,30,Al-Li-V,esopt_graph_risk,1,30,16,,4033.3154389392585,44.15568986721337,2816.517729829997
budget-final-made-2ebbedb51225fe4d4920de4b,30,Al-V-Zn,esopt_graph_risk,1,30,12,94,3981.209667790681,42.981401197612286,2628.5548546127975
budget-final-made-c59e1b9d87045dbf2d81c82b,30,Au-K-Tb,esopt_graph_risk,1,30,11,87,3892.218176919967,43.393168127164245,2513.3280166834593
budget-final-made-cdab6d281c262ce6eaa95c04,30,Co-Dy-W,esopt_graph_risk,1,30,11,77,3484.55597409606,48.13398959860206,2401.7616169415414
budget-final-made-60a93cb79b903b44c94c8108,30,Co-Mg-Na,esopt_graph_risk,1,30,13,86,3506.027481984347,46.414399825036526,2295.6478729508817
budget-final-made-bfeeaafeaa530163bba4bd71,30,Co-Pd-Tl,esopt_graph_risk,1,30,12,318,4556.1032479554415,43.956005189567804,2832.63699413836
budget-final-made-918bd9462b0f8ade79ece0bc,30,Ga-Ho-Lu,esopt_graph_risk,1,30,20,31,4044.6915138065815,69.37833700701594,2691.681722857058
budget-final-made-68c87be7a3b5e0b57321e69c,30,Ga-Pt-Tm,esopt_graph_risk,1,30,29,,4309.623308321461,94.50081694126129,3078.616315163672
budget-final-made-b4bdf78cadbefaabf1c3bc2f,30,Hf-Ni-Zr,esopt_graph_risk,1,30,22,90,4081.150938887149,78.61875337734818,2475.3579107373953
budget-final-made-d8dd53ba40cb0e54b6ca1e92,30,Mg-Sn-Sr,esopt_graph_risk,1,30,96,,4313.674435807392,198.0673931762576,2965.862332591787
budget-final-made-e8a4bb098fe498d06e5fefc0,30,Au-Cr-Cs-Dy,esopt_graph_risk,1,30,11,93,4625.005907414015,38.07597733428702,2267.090705233626
budget-final-made-8b0f5d5e10193a64efa50b47,30,Au-Tb-V-Y,esopt_graph_risk,1,30,23,491,4552.348389960825,40.8843717193231,2402.3381093507633
budget-final-made-bcf101858cf19e586a18f9b2,30,Ba-Be-Hf-Li,esopt_graph_risk,1,30,8,253,3933.1446605231613,41.057024048641324,2413.735597187653
budget-final-made-29687eadc1cd9b021ab3531e,30,Ba-Nd-Ni-W,esopt_graph_risk,1,30,12,171,6102.6336685512215,51.47276126779616,2901.573942821473
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,30,26,54,4822.468760652933,61.18943820288405,2918.611569015775
budget-final-made-feba53f749cef504945566d0,30,Ce-Er-Pb-Rh,esopt_graph_risk,1,30,33,56,3035.366787729785,71.4848652780056,1924.9897873764858
budget-final-made-b4647f4d12e520b6f6b754b6,30,Ce-Ir-Pt-Sn,esopt_graph_risk,1,30,45,320,4732.442934901454,198.9625629922375,3346.7009270377457
budget-final-made-00a04ffb87a19d2d73501421,30,Co-Dy-Ta-Y,esopt_graph_risk,1,30,32,201,5913.320118501782,97.32583659607917,2949.3050405145623
budget-final-made-5b45a11bf112cc71ad9d8641,30,Dy-K-Pd-Sm,esopt_graph_risk,1,30,17,104,4262.345676895231,53.02874159999192,2660.622468592599
budget-final-made-43d658e0fd9b07b57a04d94a,30,Eu-Nb-Sn-Tl,esopt_graph_risk,1,30,21,140,3310.6743678641506,63.57664390606806,1910.4701872216538
budget-final-made-254ea063e97b94a2948a97a4,30,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,30,53,256,5835.164085537195,87.295898119919,3481.7129576252773
budget-final-made-a84f6d9aaecd2f95c23db994,30,Al-Hg-K-Mg-W,esopt_graph_risk,1,30,59,371,4224.2388099702075,115.88906184211373,2315.1134439646266
budget-final-made-e89ce15810f410ebf6c2ce79,30,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,30,46,125,3297.990443861112,111.40918342210352,2032.3254266213626
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,30,23,9,3553.9835031451657,73.38633448909968,1805.7958976728842
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,30,17,467,4563.4713319456205,66.70098368171602,2114.8628170713782
budget-final-made-9d3cce6ae5efa343d55faaab,30,Cd-Li-Nd-Ti-W,esopt_graph_risk,1,30,21,35,3703.831866165623,49.26974260993302,1545.6810877341777
budget-final-made-a063d242d76f022307b0f927,30,Co-Hf-In-Ru-Tm,esopt_graph_risk,1,30,42,375,4199.509871807881,121.84029872529209,2397.390681688674
budget-final-made-ad7247aa48b4fab7318ccfd3,30,Co-Hg-Mg-Sr-W,esopt_graph_risk,1,30,78,50,3290.8407815676183,141.31286539975554,1902.4773069070652
budget-final-made-893f84eddaeedf0653681ba6,30,Cr-Fe-Lu-Pt-Sc,esopt_graph_risk,1,30,32,555,5121.769100564998,69.19326911121607,1756.8526411834173
budget-final-made-350e8a392b1a3b32c99aed5a,30,Ho-In-Mg-Pd-Zr,esopt_graph_risk,1,30,126,227,4118.768176638987,239.02606242801994,1721.1333961375058
budget-final-made-6d233e5c4026401bfeed1cb5,50,Al-Li-V,baseline,1,50,16,440,2074.1109905578196,47.938336204737425,0
budget-final-made-ea0a4f6b50bab082d34b533f,50,Al-V-Zn,baseline,1,50,12,586,2506.8050701138563,45.153544578235596,0
budget-final-made-4852659a8da421cffe472868,50,Co-Dy-W,baseline,1,50,11,590,2732.0372634287924,52.12030976358801,0
budget-final-made-24b480a71e7c8ec3d54831ad,50,Ga-Ho-Lu,baseline,1,50,20,522,2151.85982024204,73.21079806331545,0
budget-final-made-eb1a75750247f9ba7198b375,50,Al-Li-V,esopt_graph_risk,1,50,16,,7360.622547689825,43.93542640097439,5024.000502372161
budget-final-made-8aea41d2e366c782ee520a2b,50,Al-V-Zn,esopt_graph_risk,1,50,12,361,6764.851483649574,24.611903170123696,4680.096769504249
budget-final-made-8c995b568fd183ae5f7c6b0a,50,Au-K-Tb,esopt_graph_risk,1,50,11,328,7352.737770462874,48.02845887700096,4058.187502317596
budget-final-made-2aa23651070d557dd1798aaf,50,Co-Dy-W,esopt_graph_risk,1,50,11,283,7638.678239309229,54.49519570171833,5329.940927773714
budget-final-made-867bc3d2d51a6f76a133984a,50,Co-Mg-Na,esopt_graph_risk,1,50,13,344,6510.024471964687,55.86815450293943,4056.1304589854553
budget-final-made-b9d3f700f718a9f5be723b23,50,Co-Pd-Tl,esopt_graph_risk,1,50,12,380,7448.4881878132,52.43768230546266,4761.782952612266
budget-final-made-3b2aabc82d30bd310fe51fa5,50,Ga-Ho-Lu,esopt_graph_risk,1,50,20,393,6682.480942525901,76.90377213153988,4115.26986376103
budget-final-made-393420e0fc1e90e5e8dfacef,50,Ga-Pt-Tm,esopt_graph_risk,1,50,29,,6413.481506851502,96.18027122877538,4696.768208179623
budget-final-made-abfe69c6d613d729f001ae4c,50,Hf-Ni-Zr,esopt_graph_risk,1,50,22,330,9088.588561891112,67.61584675498307,5760.510862160474
budget-final-made-10d466b36bfb2baaad28c932,50,Mg-Sn-Sr,esopt_graph_risk,1,50,96,137,7016.245118639898,211.96989443106577,4500.376089256257
budget-final-made-8ca7d92576ad4c90ccffa3d0,50,Au-Cr-Cs-Dy,esopt_graph_risk,1,50,11,432,6017.062000667676,45.54393685981631,3315.688414802775
budget-final-made-371f12d508cc3c279aba7dd8,50,Au-Tb-V-Y,esopt_graph_risk,1,50,23,556,7011.842864336446,43.36499216873199,3873.382786810398
budget-final-made-0a553a8fca3b3c1b6a1c0a7a,50,Ba-Be-Hf-Li,esopt_graph_risk,1,50,8,366,7646.923674762249,46.06752301566303,4074.80648704106
budget-final-made-361749a605a9c1595ba3e5a1,50,Ba-Nd-Ni-W,esopt_graph_risk,1,50,12,127,9732.962752474006,71.754047493916,4419.784991263412
budget-final-made-87d829b3213cc2ccb26373e1,50,Ca-Pd-Sn-W,esopt_graph_risk,1,50,26,222,6976.123855840415,72.08783524669707,4441.525600047782
budget-final-made-a9f42a5c3df0697d731894c9,50,Ce-Er-Pb-Rh,esopt_graph_risk,1,50,33,,7491.89131195005,85.83725509792566,5206.537632070482
budget-final-made-bb8159ca9a49151f7902da49,50,Ce-Ir-Pt-Sn,esopt_graph_risk,1,50,45,440,7923.47797091119,216.2508490923792,4627.610965363681
budget-final-made-a69bf2fbb5e1c33fcc277477,50,Co-Dy-Ta-Y,esopt_graph_risk,1,50,32,131,7252.986303875223,122.56226632092148,4580.557827719487
budget-final-made-050eede50ef4209f220a4efa,50,Dy-K-Pd-Sm,esopt_graph_risk,1,50,17,669,6647.012466985732,58.93023300124332,3802.7163030784577
budget-final-made-5e63c3eda07bc06010145cf3,50,Eu-Nb-Sn-Tl,esopt_graph_risk,1,50,21,311,5833.052912259009,49.38252603588626,3526.33912893245
budget-final-made-a3a3592adc44012eb5ddeb3a,50,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,50,53,274,7547.841789430007,104.57380153983831,4715.662326699123
budget-final-made-e621dd32dab37ee731ce4f9a,50,Al-Hg-K-Mg-W,esopt_graph_risk,1,50,59,721,8869.042745838873,105.30835577473044,3899.282779720612
budget-final-made-187861cee7674983bd8790b2,50,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,50,46,500,7232.698037785012,128.5110388416797,3892.7830822905526
budget-final-made-59acc7bb234561ecbe03bebe,50,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,50,23,360,7508.543762626126,71.54959654342383,3964.6584216980264
budget-final-made-25d828a31bf2afcd937ff666,50,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,50,17,1046,8560.459774336778,66.56673322897404,3591.105352391489
budget-final-made-a1d56889c767262394b770e2,50,Cd-Li-Nd-Ti-W,esopt_graph_risk,1,50,21,387,7865.067614145577,47.61255594715476,4144.041517177597
budget-final-made-696722e1920faee55ba5bb13,50,Co-Hf-In-Ru-Tm,esopt_graph_risk,1,50,42,493,5843.481665106956,134.50612686295062,3438.036554427352
budget-final-made-b6f6d11565bd714bb5123b47,50,Co-Hg-Mg-Sr-W,esopt_graph_risk,1,50,78,104,5868.619356723502,132.18485451024026,3209.1378234690055
budget-final-made-271c5a74480fa1c6c7400c98,50,Cr-Fe-Lu-Pt-Sc,esopt_graph_risk,1,50,32,478,7549.08982305415,74.05071332398802,3028.9035246670246
budget-final-made-76df2600b6fe395bf48ab5d6,50,Ho-In-Mg-Pd-Zr,esopt_graph_risk,1,50,126,489,6297.46298902994,245.19530447525904,3188.404141339939
