feature,family,cohort,n,train_mean,train_std,normalizer_std,std_floor_applied,mean,standardized_mean,max_abs_z,outside_train_range,abs_z_above3,abs_z_above5
hidden.layer_26.output_mean,hidden,dev,50,-0.0008572662788598488,0.00025556325622599733,0.00025556325622599733,False,-0.0009130602807272225,-0.21831777655092371,2.219809436953264,0,0,0
hidden.layer_26.output_mean,hidden,train,75,-0.0008572662788598488,0.00025556325622599733,0.00025556325622599733,False,-0.0008572662788598488,1.4612154079311305e-16,2.5566251555374713,0,0,0
hidden.layer_26.output_mean,hidden,all_scored_candidates,239,-0.0008572662788598488,0.00025556325622599733,0.00025556325622599733,False,-0.0009737565414980054,-0.45581772731500564,3.1457996192059183,16,5,0
hidden.layer_26.output_mean,hidden,selected,224,-0.0008572662788598488,0.00025556325622599733,0.00025556325622599733,False,-0.0009468846094802887,-0.35066985741169854,3.1457996192059183,9,3,0
hidden.layer_26.output_mean,hidden,first_scored,219,-0.0008572662788598488,0.00025556325622599733,0.00025556325622599733,False,-0.000944846830932534,-0.3426961816265043,3.06604821368247,9,3,0
hidden.layer_26.output_rms,hidden,dev,50,0.18313751498858133,0.006113252259621886,0.006113252259621886,False,0.18299779146909714,-0.022855840647549832,2.5791975137745493,0,0,0
hidden.layer_26.output_rms,hidden,train,75,0.18313751498858133,0.006113252259621886,0.006113252259621886,False,0.18313751498858133,1.701971896750365e-15,2.6541170608508593,0,0,0
hidden.layer_26.output_rms,hidden,all_scored_candidates,239,0.18313751498858133,0.006113252259621886,0.006113252259621886,False,0.18142115053522037,-0.28076126756580255,2.7471498026930488,13,0,0
hidden.layer_26.output_rms,hidden,selected,224,0.18313751498858133,0.006113252259621886,0.006113252259621886,False,0.18201440586043255,-0.18371712477283547,2.7471498026930488,8,0,0
hidden.layer_26.output_rms,hidden,first_scored,219,0.18313751498858133,0.006113252259621886,0.006113252259621886,False,0.1820931230505852,-0.1708406415508758,2.7471498026930488,7,0,0
hidden.layer_27.input_mean,hidden,dev,50,0.014273303101460138,0.001198622735728371,0.001198622735728371,False,0.014173424541950226,-0.08332776989184915,2.390239586210258,0,0,0
hidden.layer_27.input_mean,hidden,train,75,0.014273303101460138,0.001198622735728371,0.001198622735728371,False,0.014273303101460138,5.926509283327164e-16,2.733140987737899,0,0,0
hidden.layer_27.input_mean,hidden,all_scored_candidates,239,0.014273303101460138,0.001198622735728371,0.001198622735728371,False,0.013273971198150054,-0.833733478868826,3.294012492842891,7,6,0
hidden.layer_27.input_mean,hidden,selected,224,0.014273303101460138,0.001198622735728371,0.001198622735728371,False,0.01336330097650976,-0.7592064607362832,3.294012492842891,5,4,0
hidden.layer_27.input_mean,hidden,first_scored,219,0.014273303101460138,0.001198622735728371,0.001198622735728371,False,0.013376428022742543,-0.7482546859688822,3.2712792048149932,5,4,0
hidden.layer_27.input_rms,hidden,dev,50,1.2209172391891479,0.010324714846640059,0.010324714846640059,False,1.2196058821678162,-0.12701145172628572,2.1481370629093077,0,0,0
hidden.layer_27.input_rms,hidden,train,75,1.2209172391891479,0.010324714846640059,0.010324714846640059,False,1.2209172391891479,9.454589888768794e-15,2.2767019151947845,0,0,0
hidden.layer_27.input_rms,hidden,all_scored_candidates,239,1.2209172391891479,0.010324714846640059,0.010324714846640059,False,1.2280426743639064,0.6901338468516999,3.1129422116398584,27,1,0
hidden.layer_27.input_rms,hidden,selected,224,1.2209172391891479,0.010324714846640059,0.010324714846640059,False,1.229302370654685,0.8121416998035595,3.1129422116398584,27,1,0
hidden.layer_27.input_rms,hidden,first_scored,219,1.2209172391891479,0.010324714846640059,0.010324714846640059,False,1.229448299974067,0.8262756804073298,3.1129422116398584,27,1,0
hidden.layer_27.output_mean,hidden,dev,50,0.00178252543322742,0.00024220593414823628,0.00024220593414823628,False,0.0018000455317087472,0.07233554595984609,2.210008487246712,0,0,0
hidden.layer_27.output_mean,hidden,train,75,0.00178252543322742,0.00024220593414823628,0.00024220593414823628,False,0.00178252543322742,-3.917699498146021e-16,2.675343061856418,0,0,0
hidden.layer_27.output_mean,hidden,all_scored_candidates,239,0.00178252543322742,0.00024220593414823628,0.00024220593414823628,False,0.0019323960293442884,0.6187734278431996,2.253048897715171,28,0,0
hidden.layer_27.output_mean,hidden,selected,224,0.00178252543322742,0.00024220593414823628,0.00024220593414823628,False,0.0019579759625360437,0.7243857584481949,2.253048897715171,28,0,0
hidden.layer_27.output_mean,hidden,first_scored,219,0.00178252543322742,0.00024220593414823628,0.00024220593414823628,False,0.00196141553468594,0.7385867818954207,2.253048897715171,28,0,0
hidden.layer_27.output_rms,hidden,dev,50,0.1851596744855245,0.006266495221639716,0.006266495221639716,False,0.18439909428358078,-0.12137250170035385,2.2769733891066877,0,0,0
hidden.layer_27.output_rms,hidden,train,75,0.1851596744855245,0.006266495221639716,0.006266495221639716,False,0.1851596744855245,-1.6486349322756648e-15,2.3744272716371624,0,0,0
hidden.layer_27.output_rms,hidden,all_scored_candidates,239,0.1851596744855245,0.006266495221639716,0.006266495221639716,False,0.18678049942688962,0.2586493540708393,2.3646734972884365,11,0,0
hidden.layer_27.output_rms,hidden,selected,224,0.1851596744855245,0.006266495221639716,0.006266495221639716,False,0.187487998179027,0.3715511799103021,2.3646734972884365,11,0,0
hidden.layer_27.output_rms,hidden,first_scored,219,0.1851596744855245,0.006266495221639716,0.006266495221639716,False,0.1875743295095827,0.38532783296790896,2.3646734972884365,11,0,0
hidden.layer_28.input_mean,hidden,dev,50,0.013340488051374753,0.0022742490445105488,0.0022742490445105488,False,0.013125982126221061,-0.09431945268767024,2.491267116564178,0,0,0
hidden.layer_28.input_mean,hidden,train,75,0.013340488051374753,0.0022742490445105488,0.0022742490445105488,False,0.013340488051374753,2.648575803121389e-16,2.640815655747844,0,0,0
hidden.layer_28.input_mean,hidden,all_scored_candidates,239,0.013340488051374753,0.0022742490445105488,0.0022742490445105488,False,0.01305844992103063,-0.12401374028270605,2.6390246736696445,2,0,0
hidden.layer_28.input_mean,hidden,selected,224,0.013340488051374753,0.0022742490445105488,0.0022742490445105488,False,0.013270532333990559,-0.030759919434966376,2.638418397468256,2,0,0
hidden.layer_28.input_mean,hidden,first_scored,219,0.013340488051374753,0.0022742490445105488,0.0022742490445105488,False,0.013301588371651222,-0.017104406317076354,2.6390246736696445,2,0,0
hidden.layer_28.input_rms,hidden,dev,50,1.2145106410980224,0.009244868608972995,0.009244868608972995,False,1.2133670949935913,-0.12369522518916062,2.1500101305457053,0,0,0
hidden.layer_28.input_rms,hidden,train,75,1.2145106410980224,0.009244868608972995,0.009244868608972995,False,1.2145106410980224,3.8331606407500845e-15,2.327788587390556,0,0,0
hidden.layer_28.input_rms,hidden,all_scored_candidates,239,1.2145106410980224,0.009244868608972995,0.009244868608972995,False,1.2192978459920842,0.5178229238883373,2.8861865037916514,14,0,0
hidden.layer_28.input_rms,hidden,selected,224,1.2145106410980224,0.009244868608972995,0.009244868608972995,False,1.2204093454139573,0.6380517198708117,2.8861865037916514,14,0,0
hidden.layer_28.input_rms,hidden,first_scored,219,1.2145106410980224,0.009244868608972995,0.009244868608972995,False,1.2205233949504486,0.6503882431157858,2.8861865037916514,14,0,0
hidden.layer_28.output_mean,hidden,dev,50,-0.00023650811214489902,0.00010979245589410694,0.00010979245589410694,False,-0.00025426365220482694,-0.16171912646760409,2.5598090568457867,2,0,0
hidden.layer_28.output_mean,hidden,train,75,-0.00023650811214489902,0.00010979245589410694,0.00010979245589410694,False,-0.00023650811214489902,7.66053886991358e-17,2.091426370414959,0,0,0
hidden.layer_28.output_mean,hidden,all_scored_candidates,239,-0.00023650811214489902,0.00010979245589410694,0.00010979245589410694,False,-0.00016999236911668727,0.6058316346650002,2.3981974432969544,5,0,0
hidden.layer_28.output_mean,hidden,selected,224,-0.00023650811214489902,0.00010979245589410694,0.00010979245589410694,False,-0.00017208727283803325,0.5867510548174515,2.3527936072366127,4,0,0
hidden.layer_28.output_mean,hidden,first_scored,219,-0.00023650811214489902,0.00010979245589410694,0.00010979245589410694,False,-0.00017329942741912106,0.5757106370472458,2.3527936072366127,3,0,0
hidden.layer_28.output_rms,hidden,dev,50,0.19870111207167307,0.004032688354337793,0.004032688354337793,False,0.19823101669549942,-0.11657121375818379,2.0552440078288066,0,0,0
hidden.layer_28.output_rms,hidden,train,75,0.19870111207167307,0.004032688354337793,0.004032688354337793,False,0.19870111207167307,1.4565663490155126e-15,2.4400917082049185,0,0,0
hidden.layer_28.output_rms,hidden,all_scored_candidates,239,0.19870111207167307,0.004032688354337793,0.004032688354337793,False,0.19927930108672903,0.14337557585724142,2.665278106379886,4,0,0
hidden.layer_28.output_rms,hidden,selected,224,0.19870111207167307,0.004032688354337793,0.004032688354337793,False,0.199716739689133,0.2518487738749908,2.589037238775539,3,0,0
hidden.layer_28.output_rms,hidden,first_scored,219,0.19870111207167307,0.004032688354337793,0.004032688354337793,False,0.19974265577586275,0.25827527759970037,2.665278106379886,3,0,0
hidden.layer_29.input_mean,hidden,dev,50,0.015334002847472827,0.001264704053475919,0.001264704053475919,False,0.015169041771441698,-0.13043452780731543,2.125823443235421,0,0,0
hidden.layer_29.input_mean,hidden,train,75,0.015334002847472827,0.001264704053475919,0.001264704053475919,False,0.015334002847472827,-5.912168902592422e-16,2.70027317792001,0,0,0
hidden.layer_29.input_mean,hidden,all_scored_candidates,239,0.015334002847472827,0.001264704053475919,0.001264704053475919,False,0.014585187284579835,-0.5920875803591704,3.038309713915645,6,1,0
hidden.layer_29.input_mean,hidden,selected,224,0.015334002847472827,0.001264704053475919,0.001264704053475919,False,0.014687073138442688,-0.5115265561552632,2.9558959937637823,4,0,0
hidden.layer_29.input_mean,hidden,first_scored,219,0.015334002847472827,0.001264704053475919,0.001264704053475919,False,0.014698958891915949,-0.5021285049348272,3.038309713915645,4,1,0
hidden.layer_29.input_rms,hidden,dev,50,1.2732515907287598,0.006261367355229436,0.006261367355229436,False,1.2724780869483947,-0.12353592058754073,2.0771105661142935,0,0,0
hidden.layer_29.input_rms,hidden,train,75,1.2732515907287598,0.006261367355229436,0.006261367355229436,False,1.2732515907287598,-8.517029674119196e-15,2.2585318525016294,0,0,0
