model,fold,heldout_episode,optimizer_updates,split,auroc,brier,n,n_at_or_above_fixed_point6,nll,model_state_hash,source_sha256
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,0,train,0.4369747899159664,0.2535788034090316,186,0,0.7003070315565111,6c424259a7e177f570c6826a6bfce13bc159cda4fdfab2da1ff78e0bbd8e9c84,4569d77333be4086a9b0ab0a9729aef660d40588c2282a891466759a89224706
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,0,heldout_training_episode,0.45401069518716575,0.2569844008395073,107,0,0.7071209751221367,6c424259a7e177f570c6826a6bfce13bc159cda4fdfab2da1ff78e0bbd8e9c84,4569d77333be4086a9b0ab0a9729aef660d40588c2282a891466759a89224706
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,2,train,0.5932522262636398,0.24784905149098324,186,0,0.6888257265338775,c05be1917124de414e7a5b11600be66944f347faa208895efd843eefc0501669,9ffb926c7a4fb4fbc0c7576958a406e30324b2e25151f9de4ccf4677608b8fc0
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,2,heldout_training_episode,0.5759358288770053,0.24854250156488095,107,0,0.6902112687753025,c05be1917124de414e7a5b11600be66944f347faa208895efd843eefc0501669,9ffb926c7a4fb4fbc0c7576958a406e30324b2e25151f9de4ccf4677608b8fc0
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,4,train,0.6157029976169573,0.2423730360866586,186,9,0.6777112411801098,55cae2830e940ba0c610adbedbb02f527510d15e5cfece4f3b7b4dfe1fe0c012,7d6aca4656cb02ce35405f5d2f0bd8854bfa77f3cc640940a9bf1988c498421b
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,4,heldout_training_episode,0.5491978609625668,0.24046017923597204,107,5,0.6738415087579446,55cae2830e940ba0c610adbedbb02f527510d15e5cfece4f3b7b4dfe1fe0c012,7d6aca4656cb02ce35405f5d2f0bd8854bfa77f3cc640940a9bf1988c498421b
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,8,train,0.6316317571804841,0.23168636668975798,186,40,0.6555687201479334,eda316c7c44e3e51a4f9091a1439ddf8a983b91900923efd814a64e7952e753f,8c4503263d90e4c435f9bc26de81acd03118d878ae1bfc0aedd3cc35ae9ab04c
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,8,heldout_training_episode,0.5379679144385026,0.22410970389263865,107,23,0.6399072691643806,eda316c7c44e3e51a4f9091a1439ddf8a983b91900923efd814a64e7952e753f,8c4503263d90e4c435f9bc26de81acd03118d878ae1bfc0aedd3cc35ae9ab04c
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,16,train,0.699987457669635,0.20988487933031086,186,118,0.6094251263269606,1788eda1fc39ccef990c27364b4d336b99a31ab159ae19aea639f8ce1503303f,af92b5a7a594f0f4d0cdcd9bcea63b5f71de951b718bab5f730072580f88c72e
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,16,heldout_training_episode,0.4267379679144385,0.2173180922806181,107,49,0.6281551268157511,1788eda1fc39ccef990c27364b4d336b99a31ab159ae19aea639f8ce1503303f,af92b5a7a594f0f4d0cdcd9bcea63b5f71de951b718bab5f730072580f88c72e
