job_id,arm,task_id,seed,budget,candidate_attempt,official_SUN
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,4,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,5,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,6,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,7,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,8,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,9,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,10,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,0,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,1,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,2,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,3,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,4,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,5,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,6,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,7,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,8,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,9,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,10,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,0,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,1,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,2,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,3,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,4,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,5,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,6,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,7,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,8,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,9,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,10,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,0,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,1,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,2,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,3,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,4,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,5,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,6,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,7,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,8,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,9,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,10,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,0,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,1,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,2,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,3,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,4,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,5,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,6,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,7,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,8,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,9,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,10,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,0,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,1,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,2,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,3,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,4,0
