arm,task_id,budget,metric,evaluation_seeds,complete_three_seeds,n,mean,sample_variance_ddof1,SD
baseline_reference,Cd-Li-Nd-Ti-W,50,mSUN,2,False,1,0.0,,
baseline_reference,Co-Hf-In-Ru-Tm,10,SUN,2;3;4,True,3,2.0,1.0,1.0
baseline_reference,Co-Hf-In-Ru-Tm,10,AUDC,2;3;4,True,3,0.2866666666666667,0.010233333333333332,0.10115993936995678
baseline_reference,Co-Hf-In-Ru-Tm,10,mSUN,2;3;4,True,3,0.19999999999999998,0.009999999999999998,0.09999999999999999
baseline_reference,Co-Hf-In-Ru-Tm,30,SUN,2;3;4,True,3,2.6666666666666665,2.3333333333333335,1.5275252316519468
baseline_reference,Co-Hf-In-Ru-Tm,30,AUDC,2;3;4,True,3,0.14444444444444446,0.005292592592592593,0.07275020682164823
baseline_reference,Co-Hf-In-Ru-Tm,30,mSUN,2;3;4,True,3,0.08888888888888889,0.0025925925925925925,0.05091750772173156
baseline_reference,Co-Hf-In-Ru-Tm,50,SUN,2,False,1,2.0,,
baseline_reference,Co-Hf-In-Ru-Tm,50,AUDC,2,False,1,0.0784,,
baseline_reference,Co-Hf-In-Ru-Tm,50,mSUN,2,False,1,0.04,,
baseline_reference,Co-Hg-Mg-Sr-W,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Hg-Mg-Sr-W,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Hg-Mg-Sr-W,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Hg-Mg-Sr-W,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Hg-Mg-Sr-W,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Hg-Mg-Sr-W,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Hg-Mg-Sr-W,50,SUN,2,False,1,0.0,,
baseline_reference,Co-Hg-Mg-Sr-W,50,AUDC,2,False,1,0.0,,
baseline_reference,Co-Hg-Mg-Sr-W,50,mSUN,2,False,1,0.0,,
baseline_reference,Cr-Fe-Lu-Pt-Sc,10,SUN,2;3;4,True,3,1.3333333333333333,5.333333333333334,2.3094010767585034
baseline_reference,Cr-Fe-Lu-Pt-Sc,10,AUDC,2;3;4,True,3,0.11333333333333334,0.038533333333333336,0.19629909152447278
baseline_reference,Cr-Fe-Lu-Pt-Sc,10,mSUN,2;3;4,True,3,0.13333333333333333,0.053333333333333344,0.23094010767585033
baseline_reference,Cr-Fe-Lu-Pt-Sc,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cr-Fe-Lu-Pt-Sc,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cr-Fe-Lu-Pt-Sc,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cr-Fe-Lu-Pt-Sc,50,SUN,2,False,1,0.0,,
baseline_reference,Cr-Fe-Lu-Pt-Sc,50,AUDC,2,False,1,0.0,,
