family,NN_seed,calibration,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
all,1731,raw,all,6,0.6,0.7,False,7,0.64381890637534,1.0
all,1731,raw,all,7,0.7,0.8,False,10,0.7428491175174713,1.0
all,1731,raw,all,8,0.8,0.9,False,7,0.8711911950792585,1.0
all,1731,raw,all,9,0.9,1.0,True,8,0.9280089437961578,1.0
all,1731,raw,5101,0,0.0,0.1,False,0,,
all,1731,raw,5101,1,0.1,0.2,False,1,0.19747129082679749,1.0
all,1731,raw,5101,2,0.2,0.3,False,27,0.25574008623758954,0.9629629629629629
all,1731,raw,5101,3,0.3,0.4,False,8,0.33894626051187515,1.0
all,1731,raw,5101,4,0.4,0.5,False,3,0.4160103102525075,1.0
all,1731,raw,5101,5,0.5,0.6,False,1,0.5162288546562195,1.0
all,1731,raw,5101,6,0.6,0.7,False,1,0.6244537234306335,1.0
all,1731,raw,5101,7,0.7,0.8,False,2,0.7528842687606812,1.0
all,1731,raw,5101,8,0.8,0.9,False,1,0.8626231551170349,1.0
all,1731,raw,5101,9,0.9,1.0,True,1,0.9387272000312805,1.0
all,1731,raw,5102,0,0.0,0.1,False,0,,
all,1731,raw,5102,1,0.1,0.2,False,0,,
all,1731,raw,5102,2,0.2,0.3,False,18,0.265986824201213,0.8333333333333334
all,1731,raw,5102,3,0.3,0.4,False,15,0.3381071984767914,1.0
all,1731,raw,5102,4,0.4,0.5,False,6,0.4328874299923579,1.0
all,1731,raw,5102,5,0.5,0.6,False,1,0.5063545107841492,1.0
all,1731,raw,5102,6,0.6,0.7,False,1,0.6529388427734375,1.0
all,1731,raw,5102,7,0.7,0.8,False,0,,
all,1731,raw,5102,8,0.8,0.9,False,2,0.8746280670166016,1.0
all,1731,raw,5102,9,0.9,1.0,True,2,0.9214033782482147,1.0
all,1731,raw,5103,0,0.0,0.1,False,0,,
all,1731,raw,5103,1,0.1,0.2,False,0,,
all,1731,raw,5103,2,0.2,0.3,False,25,0.2569012236595154,0.96
all,1731,raw,5103,3,0.3,0.4,False,12,0.342154602209727,1.0
all,1731,raw,5103,4,0.4,0.5,False,1,0.4741349518299103,1.0
all,1731,raw,5103,5,0.5,0.6,False,0,,
all,1731,raw,5103,6,0.6,0.7,False,0,,
all,1731,raw,5103,7,0.7,0.8,False,3,0.7281616926193237,1.0
all,1731,raw,5103,8,0.8,0.9,False,2,0.8784312307834625,1.0
all,1731,raw,5103,9,0.9,1.0,True,2,0.9511268436908722,1.0
all,1731,raw,5104,0,0.0,0.1,False,0,,
all,1731,raw,5104,1,0.1,0.2,False,0,,
all,1731,raw,5104,2,0.2,0.3,False,21,0.24328408993425824,1.0
all,1731,raw,5104,3,0.3,0.4,False,13,0.33987625057880694,1.0
all,1731,raw,5104,4,0.4,0.5,False,3,0.4383020798365275,0.6666666666666666
all,1731,raw,5104,5,0.5,0.6,False,1,0.5974882245063782,1.0
all,1731,raw,5104,6,0.6,0.7,False,2,0.6152839660644531,1.0
all,1731,raw,5104,7,0.7,0.8,False,4,0.7534258663654327,1.0
all,1731,raw,5104,8,0.8,0.9,False,0,,
all,1731,raw,5104,9,0.9,1.0,True,1,0.9248641729354858,1.0
all,1731,raw,5105,0,0.0,0.1,False,0,,
all,1731,raw,5105,1,0.1,0.2,False,2,0.1785578429698944,1.0
all,1731,raw,5105,2,0.2,0.3,False,16,0.253980066627264,1.0
all,1731,raw,5105,3,0.3,0.4,False,12,0.32738324751456577,1.0
all,1731,raw,5105,4,0.4,0.5,False,1,0.4164252281188965,1.0
all,1731,raw,5105,5,0.5,0.6,False,5,0.5629314541816711,1.0
all,1731,raw,5105,6,0.6,0.7,False,3,0.6662572820981344,1.0
all,1731,raw,5105,7,0.7,0.8,False,1,0.7245340943336487,1.0
all,1731,raw,5105,8,0.8,0.9,False,2,0.8647983074188232,1.0
all,1731,raw,5105,9,0.9,1.0,True,2,0.9077098667621613,1.0
all,1731,calibrated,all,0,0.0,0.1,False,0,,
all,1731,calibrated,all,1,0.1,0.2,False,0,,
all,1731,calibrated,all,2,0.2,0.3,False,64,0.27857420314103365,0.9375
all,1731,calibrated,all,3,0.3,0.4,False,97,0.3393459556643496,0.9896907216494846
all,1731,calibrated,all,4,0.4,0.5,False,23,0.4307876669842264,0.9565217391304348
all,1731,calibrated,all,5,0.5,0.6,False,10,0.5538556456565857,1.0
all,1731,calibrated,all,6,0.6,0.7,False,11,0.6558675928549333,1.0
all,1731,calibrated,all,7,0.7,0.8,False,4,0.7346967309713364,1.0
all,1731,calibrated,all,8,0.8,0.9,False,12,0.8445025036732355,1.0
all,1731,calibrated,all,9,0.9,1.0,True,3,0.9110509157180786,1.0
all,1731,calibrated,5101,0,0.0,0.1,False,0,,
all,1731,calibrated,5101,1,0.1,0.2,False,0,,
all,1731,calibrated,5101,2,0.2,0.3,False,17,0.28088537822751436,0.9411764705882353
all,1731,calibrated,5101,3,0.3,0.4,False,17,0.32987337603288536,1.0
all,1731,calibrated,5101,4,0.4,0.5,False,5,0.424385792016983,1.0
all,1731,calibrated,5101,5,0.5,0.6,False,1,0.5130804777145386,1.0
all,1731,calibrated,5101,6,0.6,0.7,False,2,0.6481727957725525,1.0
all,1731,calibrated,5101,7,0.7,0.8,False,1,0.7259314060211182,1.0
all,1731,calibrated,5101,8,0.8,0.9,False,1,0.814669668674469,1.0
all,1731,calibrated,5101,9,0.9,1.0,True,1,0.9002008438110352,1.0
all,1731,calibrated,5102,0,0.0,0.1,False,0,,
all,1731,calibrated,5102,1,0.1,0.2,False,0,,
all,1731,calibrated,5102,2,0.2,0.3,False,6,0.2856910079717636,0.6666666666666666
all,1731,calibrated,5102,3,0.3,0.4,False,25,0.3397601318359375,0.96
all,1731,calibrated,5102,4,0.4,0.5,False,8,0.4363066107034683,1.0
all,1731,calibrated,5102,5,0.5,0.6,False,1,0.5051212310791016,1.0
all,1731,calibrated,5102,6,0.6,0.7,False,1,0.6246460676193237,1.0
all,1731,calibrated,5102,7,0.7,0.8,False,0,,
all,1731,calibrated,5102,8,0.8,0.9,False,4,0.8533152937889099,1.0
all,1731,calibrated,5102,9,0.9,1.0,True,0,,
all,1731,calibrated,5103,0,0.0,0.1,False,0,,
all,1731,calibrated,5103,1,0.1,0.2,False,0,,
all,1731,calibrated,5103,2,0.2,0.3,False,15,0.2839620391527812,0.9333333333333333
all,1731,calibrated,5103,3,0.3,0.4,False,19,0.33776798687483134,1.0
all,1731,calibrated,5103,4,0.4,0.5,False,4,0.42622166872024536,1.0
all,1731,calibrated,5103,5,0.5,0.6,False,0,,
all,1731,calibrated,5103,6,0.6,0.7,False,2,0.6660020351409912,1.0
all,1731,calibrated,5103,7,0.7,0.8,False,1,0.7355950474739075,1.0
all,1731,calibrated,5103,8,0.8,0.9,False,2,0.8311667740345001,1.0
all,1731,calibrated,5103,9,0.9,1.0,True,2,0.9164759516716003,1.0
all,1731,calibrated,5104,0,0.0,0.1,False,0,,
all,1731,calibrated,5104,1,0.1,0.2,False,0,,
all,1731,calibrated,5104,2,0.2,0.3,False,15,0.2735946993033091,1.0
all,1731,calibrated,5104,3,0.3,0.4,False,18,0.3497701932986577,1.0
all,1731,calibrated,5104,4,0.4,0.5,False,4,0.43814438581466675,0.75
all,1731,calibrated,5104,5,0.5,0.6,False,3,0.5886411468187968,1.0
