arm,seed,front_index,matches_zero_gain_base5101_reference_objective,conc_dfnb,equiv_pldn,tau,temperature,e_factor,sty
random,5101,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random,5101,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random,5101,3,False,0.4952558550850895,1.1025358031933985,1.3595642857525196,84.03033844015994,8.580745647688971,4129.568425427237
random,5102,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random,5102,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random,5102,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random,5103,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random,5103,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random,5103,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random,5104,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random,5104,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random,5104,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random,5105,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random,5105,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random,5105,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random,5105,3,False,0.4891688797210306,1.5172912553568554,1.6678694883885155,35.23783109577314,8.870965218182231,3316.5648646402196
random_controller,5101,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random_controller,5101,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random_controller,5101,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random_controller,5102,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random_controller,5102,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random_controller,5102,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random_controller,5103,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random_controller,5103,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random_controller,5103,2,False,0.5,4.8,0.55,35,9.725753139739089,10463.979462876332
