population,feature,family,finite_n,missing_rate,train_min,train_p25,train_p50,train_p75,train_max,target_min,target_p25,target_p50,target_p75,target_max,median_shift_in_training_IQR,outside_training_range_n,outside_training_range_rate_among_finite,constant_training_feature
full_all_candidates,graph.degree_mean,graph,239,0.036290322580645164,2.131812420785805,3.9597723699246483,4.810752688172043,5.439000429790631,8.517967781908302,1.691808596918086,4.080313726393058,4.890424481737414,5.913359152498668,9.45595353339787,0.05386038551255529,6,0.02510460251046025,False
full_all_candidates,graph.degree_std,graph,239,0.036290322580645164,21.189120397136776,28.38649762695087,30.998353968190802,33.08902378121156,42.44514631187392,21.02423749533385,32.1671141263232,34.70589416148629,38.376668825953004,50.491929002282234,0.7884145822211538,16,0.06694560669456066,False
full_all_candidates,graph.density,graph,239,0.036290322580645164,0.0012159537163951935,0.0023577314812156997,0.0026722826722826725,0.0033294598389032944,0.00528409912029051,0.0006866106318661064,0.0019660491307481997,0.002376037500537565,0.002807718878588157,0.0045813728359485805,-0.3048641828772775,5,0.02092050209205021,False
full_all_candidates,graph.edge_abs_effective_count,graph,239,0.036290322580645164,63.735127305726955,151.91938808310016,194.4104572219177,240.4586867717731,408.307886177182,59.567664590687045,184.01277311085977,229.26163985836203,271.1728575309446,454.8458991734746,0.39362388399969245,5,0.02092050209205021,False
full_all_candidates,graph.edge_abs_hhi,graph,239,0.036290322580645164,0.0024491322206940127,0.00415872070495234,0.005143756227364403,0.00658250130668423,0.015689934927142515,0.0021985468085282396,0.0036876848952077136,0.0043618286976303605,0.0054344355150699065,0.016787631458634395,-0.3226065631416156,5,0.02092050209205021,False
full_all_candidates,graph.edge_abs_sum,graph,239,0.036290322580645164,21.06572769957711,66.14592803421692,87.04732276244613,108.28738190051081,207.96408171777148,20.494988416990964,79.75662486061628,106.15244678490853,135.60138333466602,221.6264980098931,0.4533570218787185,2,0.008368200836820083,False
full_all_candidates,graph.edge_abs_top10_share,graph,239,0.036290322580645164,0.07500045744676678,0.12038390205150434,0.1381740958670518,0.1706262329824837,0.30900744850327544,0.07291468602451927,0.10951840837409649,0.1251441841650798,0.1496270838006028,0.3085089655187967,-0.25934130563870317,2,0.008368200836820083,False
full_all_candidates,graph.edge_abs_top1_share,graph,239,0.036290322580645164,0.009326836934978024,0.016150994824215503,0.01980054003794312,0.02423867289383109,0.05333705670523701,0.008423826829959532,0.014559386874643627,0.017715330347828556,0.02135356859445539,0.07839155396029025,-0.25782550593209697,6,0.02510460251046025,False
full_all_candidates,graph.edge_count,graph,239,0.036290322580645164,841.0,1609.5,1975.0,2263.0,3437.0,998.0,2093.0,2521.0,3118.0,4884.0,0.8355011476664116,34,0.14225941422594143,False
full_all_candidates,graph.edge_negative_abs_sum,graph,239,0.036290322580645164,10.724576044274727,34.263029113033554,43.57617456233129,56.5085974085232,105.64585712342523,8.793995836516842,41.02751344410353,56.09267705048842,73.25216956985241,115.55092558875913,0.5626515053200456,7,0.029288702928870293,False
full_all_candidates,graph.edge_negative_fraction,graph,239,0.036290322580645164,0.4611579866162351,0.4876523672741428,0.5022727272727273,0.5166900101910162,0.5333653384541527,0.4593392630241423,0.49360248940118806,0.5055334218680833,0.5174469002445603,0.5605,0.11229198611920348,10,0.04184100418410042,False
full_all_candidates,graph.edge_positive_sum,graph,239,0.036290322580645164,10.341151655302383,32.60238956033572,43.159833651880035,53.30887921321846,102.31822459434625,10.413691112073138,38.02110391260794,49.64466184130288,61.8659188705642,106.07557242113398,0.31317853958505376,1,0.0041841004184100415,False
full_all_candidates,graph.edge_signed_mean,graph,239,0.036290322580645164,-0.007713904300887694,-0.0022067991469228126,-0.0005694853999423646,0.0009608090877023138,0.003907687470578262,-0.009901877463347059,-0.0039982903966213675,-0.002129605554276459,-0.0001640299189451822,0.006953059134676724,-0.4925230769640073,14,0.058577405857740586,False
full_all_candidates,graph.edge_signed_std,graph,239,0.036290322580645164,0.08314971039326452,0.12204744876822966,0.13853561613559584,0.15990547674276795,0.1832323065017943,0.07615689720416884,0.11378287776115693,0.13734808935110385,0.15021201785997615,0.19513889065047813,-0.03136789864730075,7,0.029288702928870293,False
full_all_candidates,graph.edge_signed_sum,graph,239,0.036290322580645164,-20.40327687584795,-4.423975394049194,-1.1336887072829995,1.9849084141897038,9.744925454171607,-28.10152824097895,-11.308025017642649,-5.158423351414967,-0.4139631381840445,6.946106075542048,-0.6279930740760189,10,0.04184100418410042,False
full_all_candidates,graph.empty_after_pruning,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.error_influence_fraction,graph,239,0.036290322580645164,0.36571533715211924,0.39979109277507263,0.40596307643505064,0.4130495276278836,0.4294728149030215,0.3648158478846255,0.3984263099533484,0.4063690289098942,0.41299672850409036,0.4330237252975926,0.030618431161010908,2,0.008368200836820083,False
full_all_candidates,graph.error_node_count,graph,239,0.036290322580645164,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,,0,0.0,True
full_all_candidates,graph.feature_node_count,graph,239,0.036290322580645164,1.0,3.0,4.0,5.0,7.0,1.0,3.0,4.0,6.0,10.0,0.0,16,0.06694560669456066,False
