model,family,step,split,calibration,temperature,nll,brier,auroc,rows,episodes,worlds
NN_GraphOnly,GraphOnly,200,fit,uncalibrated,1,0.0003810793820190668,3.987919724610623e-07,0.9999999999999996,60,3,1
NN_GraphOnly,GraphOnly,200,calibration,uncalibrated,1,0.303155038271551,0.0685751181063183,0.97737556561086,60,3,1
NN_GraphOnly,GraphOnly,200,development,uncalibrated,1,0.9457124503669101,0.08998549396291065,0.9133333333333337,40,2,1
NN_GraphOnly,GraphOnly,200,fit,calibrated,2.481214627090778,0.034024303509893265,0.0014281067967229434,0.9999999999999996,60,3,1
NN_GraphOnly,GraphOnly,200,calibration,calibrated,2.481214627090778,0.18128708046934114,0.05340105043472735,0.97737556561086,60,3,1
NN_GraphOnly,GraphOnly,200,development,calibrated,2.481214627090778,0.4245655109096483,0.0854522007337076,0.9133333333333337,40,2,1
NN_NoGraph,NoGraph,0,fit,uncalibrated,1,0.6930482473449462,0.24993911481372505,0.2952488687782806,60,3,1
NN_NoGraph,NoGraph,0,calibration,uncalibrated,1,0.7089867766146075,0.25789462437755967,0.31447963800904977,60,3,1
NN_NoGraph,NoGraph,0,development,uncalibrated,1,0.7278658725096537,0.2673358584166162,0.3966666666666668,40,2,1
NN_NoGraph,NoGraph,0,fit,calibrated,54.59782008249596,0.6931120929463465,0.24998245613740508,0.2952488687782806,60,3,1
NN_NoGraph,NoGraph,0,calibration,calibrated,54.59782008249596,0.69340045149174,0.25012663532891993,0.31447963800904977,60,3,1
NN_NoGraph,NoGraph,0,development,calibrated,54.59782008249596,0.6937483111116298,0.25030056514469834,0.3966666666666668,40,2,1
NN_NoGraph,NoGraph,50,fit,uncalibrated,1,0.03203804192322761,0.006565268781893897,0.9999999999999996,60,3,1
NN_NoGraph,NoGraph,50,calibration,uncalibrated,1,0.4809545153810184,0.10799374386928984,0.889140271493213,60,3,1
NN_NoGraph,NoGraph,50,development,uncalibrated,1,0.2417837814358243,0.07337091807662578,0.9500000000000006,40,2,1
NN_NoGraph,NoGraph,50,fit,calibrated,2.2649568509357683,0.10784752321715114,0.019764606614527516,0.9999999999999996,60,3,1
NN_NoGraph,NoGraph,50,calibration,calibrated,2.2649568509357683,0.3559873384860476,0.10878769681151677,0.889140271493213,60,3,1
NN_NoGraph,NoGraph,50,development,calibrated,2.2649568509357683,0.26436380413614724,0.07595475152858885,0.9500000000000006,40,2,1
NN_NoGraph,NoGraph,100,fit,uncalibrated,1,0.0010168042197204168,8.47210561035693e-06,0.9999999999999997,60,3,1
NN_NoGraph,NoGraph,100,calibration,uncalibrated,1,0.6933373352098389,0.11228811030386344,0.9095022624434392,60,3,1
NN_NoGraph,NoGraph,100,development,uncalibrated,1,0.3434961198198085,0.07915346568736323,0.9700000000000006,40,2,1
NN_NoGraph,NoGraph,100,fit,calibrated,3.4665068674769395,0.0884790423524778,0.009003221422668552,0.9999999999999996,60,3,1
NN_NoGraph,NoGraph,100,calibration,calibrated,3.4665068674769395,0.3404102164911525,0.10294174491120477,0.9095022624434392,60,3,1
NN_NoGraph,NoGraph,100,development,calibrated,3.4665068674769395,0.23790435783483535,0.06901885730633169,0.9700000000000006,40,2,1
NN_NoGraph,NoGraph,200,fit,uncalibrated,1,0.00020584000831287043,2.463431744284948e-07,0.9999999999999996,60,3,1
NN_NoGraph,NoGraph,200,calibration,uncalibrated,1,0.8055594042037265,0.11201231463175185,0.9174208144796384,60,3,1
NN_NoGraph,NoGraph,200,development,uncalibrated,1,0.41243195597680243,0.07739586776805774,0.9600000000000007,40,2,1
NN_NoGraph,NoGraph,200,fit,calibrated,4.047563757202568,0.08880715201173794,0.008320547914301679,0.9999999999999996,60,3,1
NN_NoGraph,NoGraph,200,calibration,calibrated,4.047563757202568,0.33733281185428227,0.1014743494011618,0.9174208144796384,60,3,1
NN_NoGraph,NoGraph,200,development,calibrated,4.047563757202568,0.23687866946119132,0.06871359337287065,0.9600000000000007,40,2,1
NN_OutputAction,OutputAction,0,fit,uncalibrated,1,0.7069671562337219,0.2569084185689304,0.00904977375565611,60,3,1
NN_OutputAction,OutputAction,0,calibration,uncalibrated,1,0.7003604782102152,0.2536049948862404,0.13687782805429866,60,3,1
NN_OutputAction,OutputAction,0,development,uncalibrated,1,0.6990817412941434,0.25296595346880413,0.11,40,2,1
NN_OutputAction,OutputAction,0,fit,calibrated,54.59788697326311,0.6933973527220438,0.2501250860716396,0.00904977375565611,60,3,1
NN_OutputAction,OutputAction,0,calibration,calibrated,54.59788697326311,0.6932765881336234,0.25006470377708395,0.13687782805429866,60,3,1
NN_OutputAction,OutputAction,0,development,calibrated,54.59788697326311,0.6932536681039438,0.2500532437641283,0.11,40,2,1
NN_OutputAction,OutputAction,50,fit,uncalibrated,1,0.14688630740337008,0.030273093580789445,0.9988687782805425,60,3,1
NN_OutputAction,OutputAction,50,calibration,uncalibrated,1,0.35172003788381806,0.10437382059171342,0.9128959276018104,60,3,1
NN_OutputAction,OutputAction,50,development,uncalibrated,1,0.28313314849943216,0.08372187639517768,0.9433333333333339,40,2,1
NN_OutputAction,OutputAction,50,fit,calibrated,0.8282056931133044,0.11642089502398022,0.024852172288230553,0.9988687782805425,60,3,1
NN_OutputAction,OutputAction,50,calibration,calibrated,0.8282056931133044,0.3461776433786172,0.10261156936911449,0.9128959276018104,60,3,1
NN_OutputAction,OutputAction,50,development,calibrated,0.8282056931133044,0.2647151148315448,0.08154028621607802,0.9433333333333339,40,2,1
NN_OutputAction,OutputAction,100,fit,uncalibrated,1,0.013831646822134454,0.0018190217956864329,0.9999999999999997,60,3,1
NN_OutputAction,OutputAction,100,calibration,uncalibrated,1,0.3368941338903528,0.08202996972000978,0.9479638009049777,60,3,1
NN_OutputAction,OutputAction,100,development,uncalibrated,1,0.3623467751394568,0.10657925825104413,0.9566666666666673,40,2,1
NN_OutputAction,OutputAction,100,fit,calibrated,1.7529336456924682,0.05658594120689279,0.006012151864025211,0.9999999999999997,60,3,1
NN_OutputAction,OutputAction,100,calibration,calibrated,1.7529336456924682,0.2790918312724342,0.08033297899498291,0.9479638009049777,60,3,1
NN_OutputAction,OutputAction,100,development,calibrated,1.7529336456924682,0.2794514233860188,0.09043195354971215,0.9566666666666673,40,2,1
NN_OutputAction,OutputAction,200,fit,uncalibrated,1,0.0021162180725662907,4.778722082522887e-05,0.9999999999999997,60,3,1
