task_id,metric,baseline_mean,full_mean,baseline_sample_variance_ddof1,full_sample_variance_ddof1,baseline_SD,full_SD,mean_delta,mean_sign,seed_wins,seed_ties,seed_losses
Mg-Sn-Sr,SUN,4.666666666666667,5,5.333333333333333,7,2.309401076758503,2.6457513110645907,0.33333333333333304,positive,2,0,1
Mg-Sn-Sr,AUDC,0.45333333333333337,0.5366666666666666,0.04973333333333334,0.16403333333333336,0.22300971578236975,0.405010287935175,0.08333333333333326,positive,2,0,1
Au-Cr-Cs-Dy,SUN,0,0,0,0,0.0,0.0,0,tie,0,3,0
Au-Cr-Cs-Dy,AUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0,3,0
Au-Tb-V-Y,SUN,1,0,1,0,1.0,0.0,-1,negative,0,1,2
Au-Tb-V-Y,AUDC,0.09666666666666666,0.0,0.008233333333333332,0.0,0.09073771725877465,0.0,-0.09666666666666666,negative,0,1,2
Ba-Nd-Ni-W,SUN,0,0,0,0,0.0,0.0,0,tie,0,3,0
Ba-Nd-Ni-W,AUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0,3,0
Ce-Ir-Pt-Sn,SUN,2.3333333333333335,0,5.333333333333333,0,2.309401076758503,0.0,-2.3333333333333335,negative,0,0,3
Ce-Ir-Pt-Sn,AUDC,0.24333333333333335,0.0,0.07093333333333335,0.0,0.26633312473917575,0.0,-0.24333333333333335,negative,0,0,3
Co-Dy-Ta-Y,SUN,0.6666666666666666,0,1.3333333333333335,0,1.1547005383792517,0.0,-0.6666666666666666,negative,0,2,1
Co-Dy-Ta-Y,AUDC,0.04,0.0,0.004799999999999999,0.0,0.06928203230275508,0.0,-0.04,negative,0,2,1
Dy-K-Pd-Sm,SUN,0,0,0,0,0.0,0.0,0,tie,0,3,0
Dy-K-Pd-Sm,AUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0,3,0
Eu-Nb-Sn-Tl,SUN,0,0,0,0,0.0,0.0,0,tie,0,3,0
Eu-Nb-Sn-Tl,AUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0,3,0
Ag-Nd-Pd-Pt-Tb,SUN,3,4.333333333333333,4,2.333333333333333,2.0,1.5275252316519465,1.333333333333333,positive,2,1,0
Ag-Nd-Pd-Pt-Tb,AUDC,0.37666666666666665,0.5233333333333333,0.027733333333333332,0.005033333333333331,0.16653327995729061,0.07094598884597586,0.14666666666666667,positive,2,1,0
Al-Hg-K-Mg-W,SUN,2.3333333333333335,0,16.333333333333332,0,4.041451884327381,0.0,-2.3333333333333335,negative,0,2,1
Al-Hg-K-Mg-W,AUDC,0.25666666666666665,0.0,0.19763333333333336,0.0,0.44455970727601185,0.0,-0.25666666666666665,negative,0,2,1
Al-Lu-Pt-Rb-Sm,SUN,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.3333333333333335,1.5275252316519468,1.5275252316519468,0.0,tie,2,0,1
Al-Lu-Pt-Rb-Sm,AUDC,0.1,0.20666666666666667,0.013900000000000003,0.04643333333333333,0.11789826122551597,0.21548395145191981,0.10666666666666666,positive,2,0,1
Ca-Fe-Gd-Pb-Tb,SUN,0,0,0,0,0.0,0.0,0,tie,0,3,0
Ca-Fe-Gd-Pb-Tb,AUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0,3,0
Co-Hg-Mg-Sr-W,SUN,0,0,0,0,0.0,0.0,0,tie,0,3,0
Co-Hg-Mg-Sr-W,AUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0,3,0
Cr-Fe-Lu-Pt-Sc,SUN,1.3333333333333333,0,5.333333333333334,0,2.3094010767585034,0.0,-1.3333333333333333,negative,0,2,1
