family,weight_decay,steps,held_source,MSE,MAE,validation_rows
OutputAction,0.1,50,102,0.004347903001168617,0.05958614343156417,12
OutputAction,0.1,50,103,0.0004880481141413343,0.011209530212605992,12
OutputAction,0.1,50,104,0.0005456918829064017,0.018009431660175323,6
OutputAction,0.1,50,105,0.0007947224840469287,0.01823510928079486,6
OutputAction,0.1,50,106,0.0036553771684777227,0.050710541661828756,6
OutputAction,0.1,50,107,0.0029135481343919157,0.040555273958792284,6
OutputAction,0.1,50,108,0.005291929081804436,0.06485491432249546,6
OutputAction,0.1,50,109,0.0039432699394448,0.05341091472655535,6
OutputAction,0.1,50,110,0.0002765594684432454,0.011950552463531494,6
OutputAction,0.1,100,101,0.00342732293016477,0.04726138967089355,12
OutputAction,0.1,100,102,0.004454524691380035,0.061011175728506506,12
OutputAction,0.1,100,103,0.0005569294052333605,0.011688781048481664,12
OutputAction,0.1,100,104,0.000603026351268267,0.018242899794131517,6
OutputAction,0.1,100,105,0.0008357886974964742,0.017610637471079826,6
OutputAction,0.1,100,106,0.003672046269033831,0.05003184437130888,6
OutputAction,0.1,100,107,0.003982787145752891,0.04410355522607763,6
OutputAction,0.1,100,108,0.005741197573437873,0.06768617096046606,6
OutputAction,0.1,100,109,0.003908631902408468,0.05183894652873278,6
OutputAction,0.1,100,110,0.00035829821149079087,0.013106860996534426,6
OutputAction,0.1,200,101,0.005673004845953868,0.05362248211167753,12
OutputAction,0.1,200,102,0.00480745310066452,0.059204974263492555,12
OutputAction,0.1,200,103,0.0003265619030625183,0.008436710418512423,12
OutputAction,0.1,200,104,0.000178304823247657,0.0094057514021794,6
OutputAction,0.1,200,105,0.0005467562102750885,0.01446645256752769,6
OutputAction,0.1,200,106,0.002351522980100503,0.04202116575712959,6
OutputAction,0.1,200,107,0.003740325877518836,0.04535104427486658,6
OutputAction,0.1,200,108,0.0052147436177207105,0.06156869069673121,6
OutputAction,0.1,200,109,0.0032874328335206725,0.04861526750028133,6
OutputAction,0.1,200,110,0.00021802690664282293,0.013802771146098772,6
