name,arm,seed,budget,queries,prior_rows,prior_hv,final_hv,final_hv_gain,mean_querywise_hv,mean_querywise_hv_gain,brier,invalid_proposal_rate,invalid_proposals,proposal_count,risk_observations,weight_hash,prior_fingerprint,protocol_fingerprint,original_summary_sha256,acceptance
test_random_controller_5103,random_controller,5103,50,50,550,0.8810117795428745,0.881016539114735,4.7595718605242254e-06,0.8810133026058697,1.523062995367752e-06,,0.011111111111111112,1,90,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,df9dc43328a4adca6da93484e48489becedb20fd5887d224506773c045a318b7,separate_derived_acceptance_passed
test_random_controller_5104,random_controller,5104,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428745,0.0,,0.0,0,90,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,457c00fae2756542843782d3cfec4e7b0deda16c4004cfba1b3a1bb24d3d0b30,separate_derived_acceptance_passed
test_random_controller_5105,random_controller,5105,50,50,550,0.8810117795428745,0.8811535892532629,0.00014180971038846302,0.8810675710615663,5.579151869182564e-05,,0.022222222222222223,2,90,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,c0fe6258b3603537bad68c83ed9414bb99f581b2012e9618138a1be0f95fa8f9,separate_derived_acceptance_passed
test_uq_esopt_5101,uq_esopt,5101,50,50,550,0.8810117795428745,0.8810187438992677,6.96435639324644e-06,0.8810124759785138,6.96435639324644e-07,0.7266795908695955,0.04,2,50,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,a1c2f1a07f616e71cbd80ff484d93b81ced31a4fa87921909718a86cb5112837,separate_derived_acceptance_passed
test_uq_esopt_5102,uq_esopt,5102,50,50,550,0.8810117795428745,0.881108209959488,9.643041661355767e-05,0.8810783516938393,6.65721509649031e-05,0.6155525389568062,0.0392156862745098,2,51,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,d6dc0e153b05169512a60868d29785fdfbc4e80dd1beb92880cedd74b3fa9a9c,separate_derived_acceptance_passed
test_uq_esopt_5103,uq_esopt,5103,50,50,550,0.8810117795428745,0.8810168129206348,5.0333777603661645e-06,0.8810150009046411,3.2213617666343453e-06,0.6784697839626646,0.04,2,50,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,60acdc9e6ea1d0a342dc694aa6350bbd152c7abdc386b40ea9ceb06fb2cffc78,separate_derived_acceptance_passed
test_uq_esopt_5104,uq_esopt,5104,50,50,550,0.8810117795428745,0.8810168129206348,5.0333777603661645e-06,0.881015906912638,4.1273697635002545e-06,0.7010536015273702,0.0,0,47,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,f0003877f5068c35ae6ea22327265efc810f24d76b580e3d03abc3de22b49de3,separate_derived_acceptance_passed
test_uq_esopt_5105,uq_esopt,5105,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428745,0.0,0.6672153945045053,0.04,2,50,44,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,757c427fff5162c6a5fbd2d726f3455dd2d9baf69b23f3d65dd3ac4ab9abb4e5,separate_derived_acceptance_passed
test_uq_only_5101,uq_only,5101,50,50,550,0.8810117795428745,0.8810187438992677,6.96435639324644e-06,0.8810124759785138,6.96435639324644e-07,0.7266795908695955,0.04,2,50,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,cbb7e37d2f0eda7f4c9e26af2979b736e407d2153070875631459d6a14b65c6e,separate_derived_acceptance_passed
test_uq_only_5102,uq_only,5102,50,50,550,0.8810117795428745,0.881108209959488,9.643041661355767e-05,0.8810783516938393,6.65721509649031e-05,0.6155525389568062,0.0392156862745098,2,51,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,144f8908ae47c30d57830b0773db98c0c14b578f644abb609aae944caec8b2cd,separate_derived_acceptance_passed
test_uq_only_5103,uq_only,5103,50,50,550,0.8810117795428745,0.8810168129206348,5.0333777603661645e-06,0.8810150009046411,3.2213617666343453e-06,0.6784697839626646,0.04,2,50,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,6e1e02815d5c6b602f117a4f169093bad48e1980fc2e8908cd9a2d30faa4ec77,separate_derived_acceptance_passed
test_uq_only_5104,uq_only,5104,50,50,550,0.8810117795428745,0.8810168129206348,5.0333777603661645e-06,0.881015906912638,4.1273697635002545e-06,0.7010536015273702,0.0,0,47,45,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,c86108a1bbccd6eb32e0ef665b5e07440ba4a9f0b7d7fe6e731d91bafcdfaed5,separate_derived_acceptance_passed
test_uq_only_5105,uq_only,5105,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428745,0.0,0.6672153945045053,0.04,2,50,44,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,4b6f06ebd8392b60f001149a02884efe398dc04b95e6b71611d74381c1b641a0,separate_derived_acceptance_passed
