cohort,budget,method,reference,metric,n_pairs,mean_method,mean_reference,difference,interval95,macro_stratum_difference,stratum_sizes,wins,ties,losses,mean_ratio
DW_Proteomics,20,ActionPool2,Native,pooling_forwards,20,80.0,0.0,80.0,"[80.0,80.0]",80.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,
DW_Proteomics,20,ActionPool2,Native,total_tokens,20,158644.25,79746.5,78897.75,"[77007.80249999999,80840.84499999999]",78897.75,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.989356899675848
DW_Proteomics,20,ActionPool2,Native,episode_wall_seconds,20,343.79952142706026,58.48670208373805,285.3128193433222,"[280.3598648084153,290.2698008528858]",285.3128193433222,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,5.878251109710836
DW_Proteomics,20,ActionPool2,Native,whole_job_wall_seconds,20,370.9795528449002,85.36961902060429,285.60993382429587,"[280.56023455097875,290.61406944809556]",285.6099338242959,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,4.345568799544049
DW_Proteomics,20,Common2,Native,task_progress,20,0.08125,0.03125,0.05,"[0.0125,0.09375]",0.05,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",7,12,1,2.6
DW_Proteomics,20,Common2,Native,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,20,Common2,Native,action_success_rate,20,0.4875000000000001,0.3825,0.10499999999999998,"[-0.020000000000000018,0.225]",0.105,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",12,5,3,1.2745098039215688
DW_Proteomics,20,Common2,Native,environment_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,20,Common2,Native,generation_calls,20,40.0,20.0,20.0,"[20.0,20.0]",20.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.0
DW_Proteomics,20,Common2,Native,pooling_forwards,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,20,Common2,Native,total_tokens,20,159400.25,79746.5,79653.75,"[77499.13625,81714.78125]",79653.75,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.998836939552206
DW_Proteomics,20,Common2,Native,episode_wall_seconds,20,104.2411686887499,58.48670208373805,45.75446660501184,"[44.865024812708725,46.64841503258838]",45.75446660501184,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.7823054638899474
DW_Proteomics,20,Common2,Native,whole_job_wall_seconds,20,133.3268338163849,85.36961902060429,47.9572147957806,"[47.08353208209883,48.87217253391048]",47.9572147957806,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.5617597377845382
DW_Proteomics,20,Public2,Native,task_progress,20,0.06875,0.03125,0.0375,"[0.0,0.075]",0.037500000000000006,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",7,11,2,2.2
DW_Proteomics,20,Public2,Native,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,20,Public2,Native,action_success_rate,20,0.58,0.3825,0.19749999999999995,"[0.07743749999999998,0.33]",0.19749999999999998,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",14,2,4,1.5163398692810457
DW_Proteomics,20,Public2,Native,environment_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,20,Public2,Native,generation_calls,20,40.0,20.0,20.0,"[20.0,20.0]",20.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.0
DW_Proteomics,20,Public2,Native,pooling_forwards,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,20,Public2,Native,total_tokens,20,158219.25,79746.5,78472.75,"[76633.49875,80405.44625000001]",78472.75,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.984027512179218
DW_Proteomics,20,Public2,Native,episode_wall_seconds,20,103.28966244840994,58.48670208373805,44.80296036467189,"[43.65113806098467,45.96747109607779]",44.80296036467189,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.766036701821988
DW_Proteomics,20,Public2,Native,whole_job_wall_seconds,20,132.52824098044076,85.36961902060429,47.15862195983645,"[46.065054133041855,48.22998430092455]",47.15862195983645,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.5524052057495366
DW_Proteomics,20,ActionPool2,Public2,task_progress,20,0.06875,0.06875,0.0,"[-0.01875,0.01875]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",1,18,1,1.0
DW_Proteomics,20,ActionPool2,Public2,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,20,ActionPool2,Public2,action_success_rate,20,0.595,0.58,0.015000000000000003,"[-0.07749999999999999,0.0925]",0.015000000000000006,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",8,8,4,1.0258620689655173
DW_Proteomics,20,ActionPool2,Public2,environment_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,20,ActionPool2,Public2,generation_calls,20,40.0,40.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,20,ActionPool2,Public2,pooling_forwards,20,80.0,0.0,80.0,"[80.0,80.0]",80.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,
DW_Proteomics,20,ActionPool2,Public2,total_tokens,20,158644.25,158219.25,425.0,"[-1134.01375,2149.18125]",425.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",7,4,9,1.0026861459651717
DW_Proteomics,20,ActionPool2,Public2,episode_wall_seconds,20,343.79952142706026,103.28966244840994,240.5098589786503,"[235.6112346755693,245.08015402817065]",240.5098589786503,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,3.3284988379043035
DW_Proteomics,20,ActionPool2,Public2,whole_job_wall_seconds,20,370.9795528449002,132.52824098044076,238.45131186445943,"[233.64811904284187,243.03929226267311]",238.45131186445943,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.79924905137503
DW_Proteomics,20,ActionPool2,Common2,task_progress,20,0.06875,0.08125,-0.0125,"[-0.05,0.025]",-0.0125,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",3,13,4,0.8461538461538461
DW_Proteomics,20,ActionPool2,Common2,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,20,ActionPool2,Common2,action_success_rate,20,0.595,0.4875000000000001,0.1075,"[0.027500000000000004,0.1875624999999997]",0.10750000000000001,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",9,7,4,1.2205128205128202
DW_Proteomics,20,ActionPool2,Common2,environment_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,20,ActionPool2,Common2,generation_calls,20,40.0,40.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,20,ActionPool2,Common2,pooling_forwards,20,80.0,0.0,80.0,"[80.0,80.0]",80.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,
DW_Proteomics,20,ActionPool2,Common2,total_tokens,20,158644.25,159400.25,-756.0,"[-2119.7537500000003,516.706249999999]",-756.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",8,1,11,0.9952572219930647
