benchmark,permutation,scope,seed,n,failures,failure_rate,Brier,AUROC,NLL
MADE,45,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24963329993560748,0.4806201550387597,0.6925838229670721
MADE,46,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24823732265424822,0.49122807017543857,0.6899108916808042
MADE,47,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.254848663826941,0.4390044879640963,0.7033740712999564
MADE,48,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24386754087613507,0.569563443492452,0.680693179763145
MADE,49,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24594771904211593,0.5112199102407181,0.6848872353123052
MADE,50,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2392521329692417,0.5532435740514076,0.6717037847883749
MADE,51,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2476088590629755,0.4659322725418197,0.6887173997496246
MADE,52,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24283472667509332,0.5393716850265198,0.6790550101478756
MADE,53,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24821651053164157,0.4724602203182375,0.6895459757857063
MADE,54,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2458145592688613,0.5507955936352509,0.6846921157683385
MADE,55,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24847270542279645,0.5201958384332925,0.6903667993048914
MADE,56,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24625594858202007,0.5161158710730314,0.6859528047066905
MADE,57,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24545483122336667,0.5471236230110159,0.6840550286955569
MADE,58,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25296894771541023,0.45858833129334964,0.6993754462399537
MADE,59,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24462725304170427,0.554875560995512,0.6822987229127542
MADE,60,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2513794409602998,0.47572419420644635,0.696076039799452
