contrast,kind,task_id,n_paired_seeds,ddof,SUN_delta_mean,SUN_delta_sample_variance,SUN_delta_sample_SD,AUDC_delta_mean,AUDC_delta_sample_variance,AUDC_delta_sample_SD,mSUN_delta_mean,mSUN_delta_sample_variance,mSUN_delta_sample_SD
UQ_minus_ES,pairwise,Co-Mg-Na,3,1,-0.3333333333333333,0.33333333333333337,0.5773502691896258,-0.0033333333333333335,3.3333333333333335e-05,0.005773502691896258,-0.03333333333333333,0.003333333333333334,0.05773502691896258
average_UQ_algorithm_contrast,algorithm_factorial,Al-Li-V,3,1,-0.16666666666666666,0.3333333333333333,0.5773502691896257,-0.0016666666666666611,0.004933333333333335,0.07023769168568493,-0.016666666666666666,0.0033333333333333335,0.05773502691896258
average_UQ_algorithm_contrast,algorithm_factorial,Al-V-Zn,3,1,-0.16666666666666666,0.5833333333333334,0.7637626158259734,-0.035000000000000024,0.012024999999999992,0.1096585609973065,-0.016666666666666673,0.00583333333333333,0.07637626158259732
average_UQ_algorithm_contrast,algorithm_factorial,Au-K-Tb,3,1,0.5,3.25,1.8027756377319946,0.07166666666666666,0.03835833333333333,0.1958528359083251,0.049999999999999996,0.03250000000000001,0.18027756377319948
average_UQ_algorithm_contrast,algorithm_factorial,Co-Dy-W,3,1,0.6666666666666666,0.08333333333333333,0.28867513459481287,0.07666666666666667,0.00010833333333333336,0.010408329997330665,0.06666666666666667,0.0008333333333333334,0.02886751345948129
average_UQ_algorithm_contrast,algorithm_factorial,Co-Mg-Na,3,1,0.16666666666666666,0.5833333333333334,0.7637626158259734,0.011666666666666667,0.0006083333333333334,0.02466441431158124,0.016666666666666666,0.005833333333333334,0.07637626158259733
average_ES_algorithm_contrast,algorithm_factorial,Al-Li-V,3,1,-0.16666666666666666,1.3333333333333333,1.1547005383792515,0.01833333333333334,0.008033333333333333,0.08962886439832501,-0.016666666666666673,0.01333333333333334,0.11547005383792518
average_ES_algorithm_contrast,algorithm_factorial,Al-V-Zn,3,1,-1.1666666666666667,0.5833333333333334,0.7637626158259734,-0.17166666666666666,0.0002583333333333338,0.016072751268321604,-0.11666666666666665,0.005833333333333334,0.07637626158259733
average_ES_algorithm_contrast,algorithm_factorial,Au-K-Tb,3,1,-0.5,4.75,2.179449471770337,-0.01166666666666666,0.017008333333333337,0.13041600106326423,-0.05000000000000001,0.04750000000000002,0.21794494717703372
average_ES_algorithm_contrast,algorithm_factorial,Co-Dy-W,3,1,-0.3333333333333333,0.5833333333333333,0.7637626158259733,-0.03333333333333333,0.007258333333333334,0.08519585279421373,-0.03333333333333333,0.005833333333333335,0.07637626158259735
average_ES_algorithm_contrast,algorithm_factorial,Co-Mg-Na,3,1,0.5,0.25,0.5,0.015,0.00047500000000000005,0.02179449471770337,0.05,0.0025000000000000005,0.05
algorithm_interaction,algorithm_factorial,Al-Li-V,3,1,1,4,2.0,0.09000000000000002,0.09160000000000001,0.30265491900843117,0.10000000000000002,0.04000000000000001,0.2
algorithm_interaction,algorithm_factorial,Al-V-Zn,3,1,-0.3333333333333333,16.333333333333332,4.041451884327381,-0.06999999999999999,0.07270000000000004,0.26962937525425534,-0.03333333333333329,0.1633333333333333,0.404145188432738
algorithm_interaction,algorithm_factorial,Au-K-Tb,3,1,-0.3333333333333333,0.33333333333333337,0.5773502691896258,-0.09666666666666666,0.018433333333333336,0.13576941236277534,-0.03333333333333333,0.003333333333333334,0.05773502691896258
algorithm_interaction,algorithm_factorial,Co-Dy-W,3,1,-0.6666666666666666,2.333333333333333,1.5275252316519465,-0.06666666666666667,0.029033333333333335,0.17039170558842745,-0.06666666666666667,0.02333333333333334,0.1527525231651947
algorithm_interaction,algorithm_factorial,Co-Mg-Na,3,1,0.3333333333333333,2.3333333333333335,1.5275252316519468,0.023333333333333334,0.002433333333333334,0.04932882862316248,0.03333333333333333,0.023333333333333334,0.15275252316519466
