job_id,arm,task_id,seed,candidate_attempt,official_SUN
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,3,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,4,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,5,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,6,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,7,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,8,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,9,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,0,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,1,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,2,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,3,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,4,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,5,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,6,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,7,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,8,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,9,0
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,0,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,1,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,2,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,3,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,4,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,5,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,6,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,7,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,8,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,9,0
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,0,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,1,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,2,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,3,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,4,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,5,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,6,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,7,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,8,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,9,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,0,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,1,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,2,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,3,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,4,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,5,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,6,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,7,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,8,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,9,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,0,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,1,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,2,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,3,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,4,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,5,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,6,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,7,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,8,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,9,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,1
