arm,budget,seed,task_id,baseline_SUN,arm_SUN,delta_SUN,baseline_AUDC,arm_AUDC,delta_AUDC,baseline_result_sha256,arm_result_sha256
es_only_independent,10,2,Al-V-Zn,4,4,0,0.5,0.46,-0.03999999999999998,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287,a2d4dddec8c2bb359914f5b829ba17d6a92055b259d67f1b6bb0abf6109822a0
es_only_independent,10,2,Au-Cr-Cs-Dy,0,4,4,0.0,0.58,0.58,308fb83a3f9c23c3413c845ef2561dcbcf8eddf1d97a4aeecf54c226247334cf,3e71020d0fa160085cfa79bdc96ce0eb925ac6eac85253b6b9a1e5ddab21fd3a
es_only_independent,10,2,Au-K-Tb,4,1,-3,0.26,0.19,-0.07,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581,92177e12c0328dca62ff065968c368284172c75a28226a2cc4186caa4dce8e0b
es_only_independent,10,2,Au-Tb-V-Y,1,1,0,0.11,0.15,0.039999999999999994,b036a3710313abb535bed9ce55603ffee4915099676393028f45f0da30e5a3dd,c22370f76dcc57e2c6a29339ab3df9c97f056e546a289d53b28e71ebc20e1bf2
es_only_independent,10,2,Ba-Be-Hf-Li,0,0,0,0.0,0.0,0.0,147e7feb28d697c1cc5289a3565baad767372ff412267f1962774eb8e4beed74,683a16bd0dd654d9a7db26373d7203ceb6ecf16376f842af1b8deb3ce185edf3
es_only_independent,10,2,Ba-Nd-Ni-W,0,0,0,0.0,0.0,0.0,a1625153189681466a1c8b65fee90399d24dc1173213dfb54123418348d683fa,7760ca97fd00999d2de59baa7f20aac5c351781a0380ae028076060c450fb9eb
es_only_independent,10,2,Ca-Fe-Gd-Pb-Tb,0,0,0,0.0,0.0,0.0,9f9a5fa1120e3d75752cbf15974abc11aa7e0000f8bea9d5885dfc0a3c328817,114ebf41978c1e04f315644ac3df0ddd4fc4cf47a87abdf579bc6f518a44ce07
es_only_independent,10,2,Ca-Pd-Sn-W,0,0,0,0.0,0.0,0.0,66c45bea35cd598248937bd3bc527003116f2ddb693fcc9e539c9924696c6743,1f6b838c039d5afdc5b3519becf9f9569e13f1f3d9d475b9b555bf9a8d71d29d
es_only_independent,10,2,Cd-Gd-Mn-Na-Ta,0,0,0,0.0,0.0,0.0,6f29e543f0d6506a73c0b58dc89fe6988f5355d13c58f17f9d325a36144df510,10e9067f92f2c5f80c223c151678829db8988922172906b54aeb3f9fdf0ecb18
es_only_independent,10,2,Cd-Li-Nd-Ti-W,0,0,0,0.0,0.0,0.0,145006f2962691a6452b7cea0292b6642aefd3f67d03f955a6787abe536a3e45,0b1deb5549d4ea4ad1ae957140a676c47eac5c33394933f1bd84aa7baf292645
es_only_independent,10,2,Ce-Er-Pb-Rh,3,1,-2,0.29,0.19,-0.09999999999999998,a743697fb198bd9c45ef70dd0cc7e689534289086b33bd6f23d6d968486d8003,c0d7a3803a233e6d265f0081cb87d1d31b9658068ea3a5998573389aa6f821d8
es_only_independent,10,2,Ce-Ir-Pt-Sn,1,0,-1,0.07,0.0,-0.07,72cff9d3ca029c16875b4cc61d8113c05f18a69b5b43ac1e93230b8b2a2ec190,a7a3eec357c6aac94062f85e8b6e67fee4928e2f11fbd18d9e7f1ef9e3510f41
es_only_independent,10,2,Co-Dy-Ta-Y,0,0,0,0.0,0.0,0.0,d064d7d959814aaab142ab894d4f0a379f6b3fd637a9cd0ddfb6a5437b7f0dcb,9b684d9f59a9a1544fe86528422cf5eae095e517bd5b9ab84c63e7614ca4c488
es_only_independent,10,2,Co-Dy-W,0,0,0,0.0,0.0,0.0,37c8b86237908291514a07069995060c740cbff46380cf93a5a7a5660c241954,f16fb1f1bfd68b7fc1eccd1cad16b2b6f93f3b14e4fbb7b1e6df59e1bb426c43
es_only_independent,10,2,Co-Hf-In-Ru-Tm,2,2,0,0.34,0.08,-0.26,ed3bc4cdeb316b5843ed2b0ab0f67f0e593f0802fd7e140e557d8d546f216f06,be35cc726782071a8c5875a0bfaa2564239c94867cf4c0c77c18dccc229ad1cc
es_only_independent,10,2,Co-Hg-Mg-Sr-W,0,0,0,0.0,0.0,0.0,90dc474fcdafdfc68864ab366ca4d06b94b16d51ba8866250dd76ae3c95858d2,bbca2aba820449604a64dc01763d7ba04fe54e12bb48db2714a624f22c4d8138
es_only_independent,10,2,Co-Mg-Na,0,0,0,0.0,0.0,0.0,d73f6d0f6e0d2447bad12190bc1ba9a26bf7afcfae9d935feadb435e99eac58b,8d9e67b75d127c0335be5aad62c1e689779876391e0282ea28af7fae86fdf863
es_only_independent,10,2,Co-Pd-Tl,0,0,0,0.0,0.0,0.0,26ad322a72558aaf1748cd20168aaa51833f881da90a673e218908085fee3f1c,3cd8eb7bb40c0dcf17350ccc5ec40e68ee468f38c2c715bb47d85605de70c187
es_only_independent,10,2,Cr-Fe-Lu-Pt-Sc,4,0,-4,0.34,0.0,-0.34,a691d449f7fc0acee92390114ba4426249e19fad3c5b683a7a53cd758a6598f9,e8d1edc4a586672f2dd2ad7c93dbba003ca0b22dad908bb81c87ce1c0b695d6c
es_only_independent,10,2,Dy-K-Pd-Sm,0,0,0,0.0,0.0,0.0,385d8883ea5237dcaebe6af384831ba9f284ef8f70c2a11f1e49f6baf9d4523a,61680a583549cc6f7a63192717c3ea2cdd78867f8a1bdc3a95d60fa488987243
es_only_independent,10,2,Eu-Nb-Sn-Tl,0,0,0,0.0,0.0,0.0,d2cb1a3ae0ba5dcae16ea9f958c4ec3c817e23560d0225a799d46b02b60905eb,c3592040823bd935493a34ee718dede3c1969db475e2536be00293e8ab9886e6
es_only_independent,10,2,Ga-Ho-Lu,4,3,-1,0.32,0.51,0.19,59b1268a6d1b3ae667a55693882956ad39b5a7c226029884bd3f40439ca32eab,e7218dfef5e438962bb3398ee1a40b65a649a0b2159e3c21b145488e52c7d631
es_only_independent,10,2,Ga-Pt-Tm,5,2,-3,0.57,0.32,-0.24999999999999994,8d6d5e9d43fface5b0feaad177bd05310c87ca2aab86dab6c4c256057051c8e6,9b7a93b094ce0121bd080c21959aaa5ea5fc97563da6713e12b9fa70a909d3f9
es_only_independent,10,2,Hf-Ni-Zr,6,3,-3,0.78,0.37,-0.41000000000000003,fd47df7cd7d3ede2f7c3a8245e9308f09a5db76594dd1c1e0a6a8da6be4faf4e,47f02e6a370a93dfbe4d846185d7e2cd17de7abd69d3a1b6b1a53b5a0623197c
es_only_independent,10,2,Ho-In-Mg-Pd-Zr,1,0,-1,0.17,0.0,-0.17,53f382fa3124ba2452a571f5d60a93a05b62d6be2488ef5d81892a4663769080,7256d08904572a6124201d1af6411ef618a02d0f2a7b57d7525d971caff34b9a
es_only_independent,10,2,Mg-Sn-Sr,6,4,-2,0.54,0.64,0.09999999999999998,ee075dee935d875c8c33e8adeb3d910cb1791b90615ae57951bc00402c23303e,e6d2958d900f0b9004a9f0070a646da3f03b5f3d137fc92501b688e0860d23b1
es_only_independent,10,3,Ag-Nd-Pd-Pt-Tb,5,7,2,0.43,0.65,0.22000000000000003,4009b0f654e417bef82ee9c23617d636d75634336452ceee055c9a10d351aec9,f056d60b2438acc9338842dfe3171676eb5f9321f664b8239b3c3432f1454ff6
es_only_independent,10,3,Al-Hg-K-Mg-W,0,0,0,0.0,0.0,0.0,6540a22706b9457701a7a28005bfeac3f4776c1264b5982c9bd08cf0d89a39f2,ce4576df630c6965a647ce1784da572ac7882f0ae04e93cc473788f5a0ff2c83
