episode_id,split,interpretation,head,view,predictor,n,episodes,positives,mean_probability,brier,logloss,auc,auprc,TP,FP,TN,FN,p_min,p_max
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,screening_unavailable,proposal,train_only_constant,9,1,1,0.07407407407407407,0.10013717421124829,0.35759755717037894,0.5,0.1111111111111111,0,0,8,1,0.07407407407407407,0.07407407407407407
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,screening_unavailable,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,screening_unavailable,proposal,train_only_constant,10,1,0,0.07407407407407407,0.0054869684499314125,0.07696104113612832,,,0,0,10,0,0.07407407407407407,0.07407407407407407
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,screening_unavailable,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,screening_unavailable,proposal,train_only_constant,9,1,1,0.07407407407407407,0.10013717421124829,0.35759755717037894,0.5,0.1111111111111111,0,0,8,1,0.07407407407407407,0.07407407407407407
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,screening_unavailable,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,screening_unavailable,proposal,train_only_constant,6,1,0,0.07407407407407407,0.0054869684499314125,0.07696104113612832,,,0,0,6,0,0.07407407407407407,0.07407407407407407
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,tool_execution_failure,proposal,frozen_NN,85,1,6,0.03400991583344514,0.06298249172126968,0.23047443739585305,0.8185654008438819,0.236981658692185,0,0,79,6,5.265732792331192e-08,0.2351326148318203
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,tool_execution_failure,proposal,train_only_constant,85,1,6,0.09959122355336138,0.06644670966014576,0.26032582125026366,0.5,0.07058823529411765,0,0,79,6,0.09959122355336138,0.09959122355336138
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,tool_execution_failure,proposal,frozen_NN,101,1,7,0.013128355920728694,0.06849459569651925,0.3624671285264861,0.574468085106383,0.09725338602580803,0,0,94,7,6.635012589918762e-08,0.14666717238522572
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,tool_execution_failure,proposal,train_only_constant,101,1,7,0.09959122355336138,0.06542061844502334,0.2575046770525524,0.5,0.06930693069306931,0,0,94,7,0.09959122355336138,0.09959122355336138
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,tool_execution_failure,proposal,frozen_NN,107,1,17,0.0634854038922005,0.12190507714535452,0.493352992191311,0.7542483660130719,0.5281360396029261,0,0,90,17,6.374611884145894e-08,0.4923748622717444
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,tool_execution_failure,proposal,train_only_constant,107,1,17,0.09959122355336138,0.13715110712834824,0.45472111255610165,0.5,0.1588785046728972,0,0,90,17,0.09959122355336138,0.09959122355336138
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,tool_execution_failure,proposal,frozen_NN,83,1,4,0.0676709045198578,0.0516793501451041,0.19819639087355714,0.6962025316455697,0.09647147147147146,0,0,79,4,7.937085324256897e-08,0.38184159572499327
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,tool_execution_failure,proposal,train_only_constant,83,1,4,0.09959122355336138,0.04851202881576053,0.21101605223922823,0.5,0.04819277108433735,0,0,79,4,0.09959122355336138,0.09959122355336138
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,unstable,event_last_select,frozen_NN,50,1,25,0.49629657344718536,0.2399117256996364,0.6726530178510592,0.6704,0.6730510707681951,0,0,25,25,0.35368203948926746,0.5774762737144372
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,unstable,event_last_select,train_only_constant,50,1,25,0.4866666666666667,0.2501777777777778,0.6935028625952182,0.5,0.5,0,0,25,25,0.4866666666666667,0.4866666666666667
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,unstable,event_last_select,frozen_NN,50,1,15,0.4752736846963057,0.23280880037779395,0.6583316831594015,0.7295238095238096,0.5679916288387054,0,0,35,15,0.3593757211611028,0.5098682107997698
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,unstable,event_last_select,train_only_constant,50,1,15,0.4866666666666667,0.24484444444444445,0.6828336664541598,0.5,0.3,0,0,35,15,0.4866666666666667,0.4866666666666667
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,unstable,event_last_select,frozen_NN,50,1,33,0.5025583027782566,0.23534679524422988,0.6636221066248883,0.8324420677361853,0.9177338598010794,0,0,17,33,0.3989807537130171,0.5881547341640864
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,unstable,event_last_select,train_only_constant,50,1,33,0.4866666666666667,0.2544444444444444,0.7020382195080651,0.5,0.66,0,0,17,33,0.4866666666666667,0.4866666666666667
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,unstable,event_last_select,frozen_NN,50,1,16,0.5061709003756883,0.25387077778974576,0.7010560574172229,0.5110294117647058,0.34839258811770685,0,1,33,16,0.4199031872908751,0.6001180950338235
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,unstable,event_last_select,train_only_constant,50,1,16,0.4866666666666667,0.24537777777777778,0.6839005860682655,0.5,0.32,0,0,34,16,0.4866666666666667,0.4866666666666667
