head,view,graph_stratum,predictor,train_constant_probability,n,episodes,positives,mean_probability,brier,logloss,auc,auprc,TP,FP,TN,FN,p_min,p_max
tool_execution_failure,proposal,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
unstable,proposal,all,frozen_NN,0.49380920499966435,83,1,28,0.49930791966759575,0.24831852089170556,0.689753191247699,0.5175324675324675,0.3663747988879008,0,1,54,28,0.3508698423787616,0.6001180950338235
unstable,proposal,all,train_only_constant,0.49380920499966435,83,1,28,0.49380920499966435,0.24802445287033784,0.689195886334908,0.5,0.3373493975903614,0,0,55,28,0.49380920499966435,0.49380920499966435
unstable,proposal,all,fixed_half_reference,0.49380920499966435,83,1,28,0.5,0.25,0.6931471805599453,0.5,0.3373493975903614,0,0,55,28,0.5,0.5
unstable,proposal,available,frozen_NN,0.49380920499966435,83,1,28,0.49930791966759575,0.24831852089170556,0.689753191247699,0.5175324675324675,0.3663747988879008,0,1,54,28,0.3508698423787616,0.6001180950338235
unstable,proposal,available,train_only_constant,0.49380920499966435,83,1,28,0.49380920499966435,0.24802445287033784,0.689195886334908,0.5,0.3373493975903614,0,0,55,28,0.49380920499966435,0.49380920499966435
unstable,proposal,available,fixed_half_reference,0.49380920499966435,83,1,28,0.5,0.25,0.6931471805599453,0.5,0.3373493975903614,0,0,55,28,0.5,0.5
unstable,proposal,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
unstable,proposal,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
unstable,event_mean,all,frozen_NN,0.4866666666666667,50,1,16,0.5050716729141534,0.25366595337923104,0.7006209077287829,0.5018382352941176,0.338044816204868,0,1,33,16,0.38820211149012646,0.6001180950338235
unstable,event_mean,all,train_only_constant,0.4866666666666667,50,1,16,0.4866666666666667,0.24537777777777778,0.6839005860682655,0.5,0.32,0,0,34,16,0.4866666666666667,0.4866666666666667
unstable,event_mean,all,fixed_half_reference,0.4866666666666667,50,1,16,0.5,0.25,0.6931471805599453,0.5,0.32,0,0,34,16,0.5,0.5
unstable,event_mean,available,frozen_NN,0.4866666666666667,50,1,16,0.5050716729141534,0.25366595337923104,0.7006209077287829,0.5018382352941176,0.338044816204868,0,1,33,16,0.38820211149012646,0.6001180950338235
unstable,event_mean,available,train_only_constant,0.4866666666666667,50,1,16,0.4866666666666667,0.24537777777777778,0.6839005860682655,0.5,0.32,0,0,34,16,0.4866666666666667,0.4866666666666667
unstable,event_mean,available,fixed_half_reference,0.4866666666666667,50,1,16,0.5,0.25,0.6931471805599453,0.5,0.32,0,0,34,16,0.5,0.5
unstable,event_mean,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
unstable,event_mean,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
unstable,event_last_select,all,frozen_NN,0.4866666666666667,50,1,16,0.5061709003756883,0.25387077778974576,0.7010560574172229,0.5110294117647058,0.34839258811770685,0,1,33,16,0.4199031872908751,0.6001180950338235
unstable,event_last_select,all,train_only_constant,0.4866666666666667,50,1,16,0.4866666666666667,0.24537777777777778,0.6839005860682655,0.5,0.32,0,0,34,16,0.4866666666666667,0.4866666666666667
unstable,event_last_select,all,fixed_half_reference,0.4866666666666667,50,1,16,0.5,0.25,0.6931471805599453,0.5,0.32,0,0,34,16,0.5,0.5
unstable,event_last_select,available,frozen_NN,0.4866666666666667,50,1,16,0.5061709003756883,0.25387077778974576,0.7010560574172229,0.5110294117647058,0.34839258811770685,0,1,33,16,0.4199031872908751,0.6001180950338235
unstable,event_last_select,available,train_only_constant,0.4866666666666667,50,1,16,0.4866666666666667,0.24537777777777778,0.6839005860682655,0.5,0.32,0,0,34,16,0.4866666666666667,0.4866666666666667
unstable,event_last_select,available,fixed_half_reference,0.4866666666666667,50,1,16,0.5,0.25,0.6931471805599453,0.5,0.32,0,0,34,16,0.5,0.5
unstable,event_last_select,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
unstable,event_last_select,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
