NN_seed,calibration,population,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
1731,raw,selected_test,all,6,0.6,0.7,False,8,0.6749422326683998,1.0
1731,raw,selected_test,all,7,0.7,0.8,False,2,0.7374204695224762,1.0
1731,raw,selected_test,all,8,0.8,0.9,False,1,0.8321874737739563,1.0
1731,raw,selected_test,all,9,0.9,1.0,True,0,,
1731,raw,development,all,0,0.0,0.1,False,0,,
1731,raw,development,all,1,0.1,0.2,False,0,,
1731,raw,development,all,2,0.2,0.3,False,0,,
1731,raw,development,all,3,0.3,0.4,False,0,,
1731,raw,development,all,4,0.4,0.5,False,0,,
1731,raw,development,all,5,0.5,0.6,False,0,,
1731,raw,development,all,6,0.6,0.7,False,0,,
1731,raw,development,all,7,0.7,0.8,False,3,0.7273919185002645,1.0
1731,raw,development,all,8,0.8,0.9,False,11,0.8632216290994124,0.8181818181818182
1731,raw,development,all,9,0.9,1.0,True,36,0.9423470083210204,0.9166666666666666
1731,raw,selected_test,5101,0,0.0,0.1,False,1,0.091526098549366,1.0
1731,raw,selected_test,5101,1,0.1,0.2,False,34,0.1454253470634713,0.9705882352941176
1731,raw,selected_test,5101,2,0.2,0.3,False,7,0.21935278815882547,1.0
1731,raw,selected_test,5101,3,0.3,0.4,False,0,,
1731,raw,selected_test,5101,4,0.4,0.5,False,0,,
1731,raw,selected_test,5101,5,0.5,0.6,False,1,0.5737788081169128,1.0
1731,raw,selected_test,5101,6,0.6,0.7,False,0,,
1731,raw,selected_test,5101,7,0.7,0.8,False,1,0.7281991839408875,1.0
1731,raw,selected_test,5101,8,0.8,0.9,False,1,0.8321874737739563,1.0
1731,raw,selected_test,5101,9,0.9,1.0,True,0,,
1731,raw,selected_test,5102,0,0.0,0.1,False,2,0.08461876958608627,0.5
1731,raw,selected_test,5102,1,0.1,0.2,False,35,0.15273995186601366,0.9428571428571428
1731,raw,selected_test,5102,2,0.2,0.3,False,1,0.29129499197006226,1.0
1731,raw,selected_test,5102,3,0.3,0.4,False,1,0.34572017192840576,1.0
1731,raw,selected_test,5102,4,0.4,0.5,False,2,0.42502765357494354,1.0
1731,raw,selected_test,5102,5,0.5,0.6,False,3,0.5420066714286804,1.0
1731,raw,selected_test,5102,6,0.6,0.7,False,1,0.6878109574317932,1.0
1731,raw,selected_test,5102,7,0.7,0.8,False,0,,
1731,raw,selected_test,5102,8,0.8,0.9,False,0,,
1731,raw,selected_test,5102,9,0.9,1.0,True,0,,
1731,raw,selected_test,5103,0,0.0,0.1,False,3,0.09855769077936809,1.0
1731,raw,selected_test,5103,1,0.1,0.2,False,25,0.14454204738140106,0.96
1731,raw,selected_test,5103,2,0.2,0.3,False,5,0.23056701719760894,1.0
1731,raw,selected_test,5103,3,0.3,0.4,False,5,0.35787059664726256,1.0
1731,raw,selected_test,5103,4,0.4,0.5,False,2,0.4481259882450104,1.0
1731,raw,selected_test,5103,5,0.5,0.6,False,2,0.5275896787643433,1.0
1731,raw,selected_test,5103,6,0.6,0.7,False,3,0.6595218777656555,1.0
1731,raw,selected_test,5103,7,0.7,0.8,False,0,,
1731,raw,selected_test,5103,8,0.8,0.9,False,0,,
1731,raw,selected_test,5103,9,0.9,1.0,True,0,,
1731,raw,selected_test,5104,0,0.0,0.1,False,1,0.0942344069480896,1.0
1731,raw,selected_test,5104,1,0.1,0.2,False,35,0.1585859707423619,1.0
1731,raw,selected_test,5104,2,0.2,0.3,False,5,0.24240573346614838,0.8
1731,raw,selected_test,5104,3,0.3,0.4,False,1,0.39004480838775635,1.0
