arm,signal,origin_or_head,support,horizon,weighting,n,unique_outcomes,weight,minimum,maximum,mean_prediction,failure_fraction,Brier,AUROC,ECE10
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,1537,720,720.0,0.28935368096076497,0.6338994965577226,0.49159612917061735,0.7666666666666667,0.26038523763267923,0.44844460945825876,0.27507053749604926
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,901,563,901.0,0.4990677237510681,0.5012679100036621,0.5002297211963513,0.8346281908990011,0.2498754904202728,0.44260495501927744,0.33439846970264975
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,901,563,563.0,0.4990677237510681,0.5012679100036621,0.5002777406055122,0.8472468916518651,0.2498109902769625,0.49624747764072397,0.3469691510463528
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,527,527,527.0,0.499489426612854,0.5012679100036621,0.5003075880728365,0.8425047438330171,0.24979588809481867,0.49270053185715834,0.34219715576018056
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,527,527,527.0,0.499489426612854,0.5012679100036621,0.5003075880728365,0.8425047438330171,0.24979588809481867,0.49270053185715834,0.34219715576018056
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,374,269,374.0,0.4984667897224426,0.5011335015296936,0.5003509991627964,0.9144385026737968,0.24967361226893617,0.6066337719298246,0.41408750351100043
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,374,269,269.0,0.4984667897224426,0.5011335015296936,0.5003635811149431,0.9070631970260223,0.2496619989711287,0.6151188524590164,0.4066996159110793
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,192,192,192.0,0.499711275100708,0.5011335015296936,0.5005838188032309,0.9479166666666666,0.24948172833540963,0.46703296703296704,0.44733284786343575
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,192,192,192.0,0.499711275100708,0.5011335015296936,0.5005838188032309,0.9479166666666666,0.24948172833540963,0.46703296703296704,0.44733284786343575
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,901,901,901.0,0.0,0.00044321115063522396,1.0405911335821236e-06,0.0,3.534744815153299e-10,,1.0405911335821236e-06
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,901,901,901.0,0.0,0.00044321115063522396,1.0405911335821236e-06,0.0,3.534744815153299e-10,,1.0405911335821236e-06
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,374,374,374.0,1.2489531980010637e-246,1.0,0.8596787601311108,0.0,0.8583276262034083,,0.8596787601311108
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,374,374,374.0,1.2489531980010637e-246,1.0,0.8596787601311108,0.0,0.8583276262034083,,0.8596787601311108
full_support_aware,type,not_new,supported,original_type_label_horizon,per_decision,901,563,901.0,0.05382166511361793,0.7194214184936943,0.36002858595626036,0.27081021087680357,0.21834654184925736,0.500785986975073,0.09161910743142763
full_support_aware,type,not_new,supported,original_type_label_horizon,equal_observed_outcomes,901,563,563.0,0.05382166511361793,0.7194214184936943,0.367730032958521,0.2824156305506217,0.22725010422063333,0.4789644464970606,0.08795864688310374
full_support_aware,type,not_new,unsupported,original_type_label_horizon,per_decision,374,269,374.0,0.06777171742987857,0.882947729137188,0.615147734665399,0.28342245989304815,0.3113251488680047,0.5928963672205013,0.3317252747723508
full_support_aware,type,not_new,unsupported,original_type_label_horizon,equal_observed_outcomes,374,269,269.0,0.06777171742987857,0.882947729137188,0.6085137646344,0.31970260223048325,0.2902317457102982,0.625131947344109,0.28881116240391674
full_support_aware,type,tool_execution_failure,supported,original_type_label_horizon,per_decision,901,901,901.0,1.1006701093588827e-08,0.6271324515281753,0.13446022563604992,0.12319644839067703,0.11986484040133698,0.5924506785266279,0.07857589831770144
full_support_aware,type,tool_execution_failure,supported,original_type_label_horizon,equal_observed_outcomes,901,901,901.0,1.1006701093588827e-08,0.6271324515281753,0.13446022563604992,0.12319644839067703,0.11986484040133698,0.5924506785266279,0.07857589831770144
full_support_aware,type,tool_execution_failure,unsupported,original_type_label_horizon,per_decision,374,374,374.0,8.811212002430573e-08,0.9509136655606546,0.6921288485887946,0.13101604278074866,0.5070202116172912,0.5801569858712716,0.5791188971416874
full_support_aware,type,tool_execution_failure,unsupported,original_type_label_horizon,equal_observed_outcomes,374,374,374.0,8.811212002430573e-08,0.9509136655606546,0.6921288485887946,0.13101604278074866,0.5070202116172912,0.5801569858712716,0.5791188971416874
full_support_aware,type,unstable,supported,original_type_label_horizon,per_decision,901,563,901.0,0.3374964727260011,0.604548816723052,0.4666510442938888,0.7291897891231964,0.2636979743885819,0.5867954188187738,0.2625387448293076
full_support_aware,type,unstable,supported,original_type_label_horizon,equal_observed_outcomes,901,563,563.0,0.3374964727260011,0.604548816723052,0.465205710600198,0.7300177619893428,0.2684610856742558,0.5248499572252813,0.2648120513891447
full_support_aware,type,unstable,unsupported,original_type_label_horizon,per_decision,374,269,374.0,0.3180925864393199,0.628662394441523,0.49812444787642973,0.8262032085561497,0.2554554136939899,0.5207368683096838,0.32807876067971997
full_support_aware,type,unstable,unsupported,original_type_label_horizon,equal_observed_outcomes,374,269,269.0,0.3180925864393199,0.628662394441523,0.5006228436488311,0.8141263940520446,0.253116682358236,0.5210198231499602,0.3135035504032135
