arm,signal,origin_or_head,support,horizon,weighting,bin,n,weight,prediction,observed_failure
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,9,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,0,901,901.0,1.0405911335821236e-06,0.0
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,1,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,2,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,3,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,4,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,5,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,6,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,7,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,8,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,per_decision,9,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,0,901,901.0,1.0405911335821236e-06,0.0
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,1,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,2,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,3,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,4,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,5,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,6,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,7,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
full_support_aware,type,generation_invalid,supported,original_type_label_horizon,equal_observed_outcomes,9,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,0,52,52.0,0.0018444917260233345,0.0
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,1,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,2,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,3,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,4,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,5,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,6,1,1.0,0.6814943800762099,0.0
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,7,1,1.0,0.7589721641436434,0.0
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,8,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,per_decision,9,320,320.0,0.9999483630470699,0.0
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,0,52,52.0,0.0018444917260233345,0.0
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,1,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,2,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,3,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,4,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,5,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,6,1,1.0,0.6814943800762099,0.0
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,7,1,1.0,0.7589721641436434,0.0
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
full_support_aware,type,generation_invalid,unsupported,original_type_label_horizon,equal_observed_outcomes,9,320,320.0,0.9999483630470699,0.0
full_support_aware,type,not_new,supported,original_type_label_horizon,per_decision,0,18,18.0,0.07605437016268327,0.0
full_support_aware,type,not_new,supported,original_type_label_horizon,per_decision,1,12,12.0,0.15987250628642763,0.25
