task_id,budget,arm_minus_baseline,metric,paired_seeds,missing_paired_seeds,coverage,n,mean,sample_variance_ddof1,SD
Mg-Sn-Sr,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Cr-Cs-Dy,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Cr-Cs-Dy,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Cr-Cs-Dy,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Tb-V-Y,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Tb-V-Y,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Tb-V-Y,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Be-Hf-Li,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Be-Hf-Li,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Be-Hf-Li,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Nd-Ni-W,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Nd-Ni-W,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Nd-Ni-W,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Pd-Sn-W,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Pd-Sn-W,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Pd-Sn-W,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ce-Er-Pb-Rh,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ce-Er-Pb-Rh,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ce-Er-Pb-Rh,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ce-Ir-Pt-Sn,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ce-Ir-Pt-Sn,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ce-Ir-Pt-Sn,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-Ta-Y,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-Ta-Y,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-Ta-Y,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Dy-K-Pd-Sm,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Dy-K-Pd-Sm,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Dy-K-Pd-Sm,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Eu-Nb-Sn-Tl,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Eu-Nb-Sn-Tl,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Eu-Nb-Sn-Tl,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ag-Nd-Pd-Pt-Tb,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ag-Nd-Pd-Pt-Tb,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ag-Nd-Pd-Pt-Tb,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Hg-K-Mg-W,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Hg-K-Mg-W,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Hg-K-Mg-W,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Lu-Pt-Rb-Sm,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Lu-Pt-Rb-Sm,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Lu-Pt-Rb-Sm,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Fe-Gd-Pb-Tb,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Fe-Gd-Pb-Tb,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Fe-Gd-Pb-Tb,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cd-Gd-Mn-Na-Ta,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cd-Gd-Mn-Na-Ta,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cd-Gd-Mn-Na-Ta,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cd-Li-Nd-Ti-W,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cd-Li-Nd-Ti-W,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cd-Li-Nd-Ti-W,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Hf-In-Ru-Tm,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Hf-In-Ru-Tm,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Hf-In-Ru-Tm,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Hg-Mg-Sr-W,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Hg-Mg-Sr-W,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Hg-Mg-Sr-W,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cr-Fe-Lu-Pt-Sc,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cr-Fe-Lu-Pt-Sc,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Cr-Fe-Lu-Pt-Sc,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ho-In-Mg-Pd-Zr,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ho-In-Mg-Pd-Zr,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ho-In-Mg-Pd-Zr,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Li-V,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Li-V,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Li-V,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-V-Zn,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-V-Zn,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-V-Zn,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-K-Tb,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-K-Tb,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-K-Tb,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-W,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-W,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-W,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Mg-Na,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Mg-Na,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Mg-Na,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Pd-Tl,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Pd-Tl,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Pd-Tl,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Ho-Lu,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Ho-Lu,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Ho-Lu,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Pt-Tm,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Pt-Tm,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Pt-Tm,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Hf-Ni-Zr,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Hf-Ni-Zr,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Hf-Ni-Zr,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Mg-Sn-Sr,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Mg-Sn-Sr,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Mg-Sn-Sr,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
