task_id,budget,arm,metric,observed_seeds,missing_seeds,planned_seeds,coverage,n,mean,sample_variance_ddof1,SD
Co-Pd-Tl,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Pd-Tl,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Pd-Tl,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Pd-Tl,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Pd-Tl,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Pd-Tl,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Pd-Tl,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Pd-Tl,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Pd-Tl,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ga-Ho-Lu,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,4.666666666666667,0.33333333333333337,0.5773502691896258
Ga-Ho-Lu,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.4666666666666666,0.003333333333333332,0.05773502691896256
Ga-Ho-Lu,10,baseline_reference,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.43333333333333335,0.03523333333333334,0.1877054430040145
Ga-Ho-Lu,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,4.5,4.5,2.1213203435596424
Ga-Ho-Lu,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.44999999999999996,0.045,0.21213203435596426
Ga-Ho-Lu,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.5349999999999999,0.06845,0.2616295090390226
Ga-Ho-Lu,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,3.0,1.0,1.0
Ga-Ho-Lu,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.3,0.010000000000000002,0.1
Ga-Ho-Lu,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.4633333333333334,0.008033333333333337,0.08962886439832503
Ga-Ho-Lu,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,3.0,,
Ga-Ho-Lu,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.3,,
Ga-Ho-Lu,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.45,,
Ga-Pt-Tm,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,4.0,3.0,1.7320508075688772
Ga-Pt-Tm,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.39999999999999997,0.03,0.17320508075688773
Ga-Pt-Tm,10,baseline_reference,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.48666666666666664,0.012433333333333333,0.11150485789118487
Ga-Pt-Tm,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,3.0,0.0,0.0
Ga-Pt-Tm,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.3,0.0,0.0
Ga-Pt-Tm,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.39,0.0032000000000000015,0.05656854249492382
Ga-Pt-Tm,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,4.0,7.0,2.6457513110645907
Ga-Pt-Tm,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.39999999999999997,0.06999999999999998,0.264575131106459
Ga-Pt-Tm,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.46,0.034300000000000004,0.18520259177452136
Ga-Pt-Tm,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,5.0,,
Ga-Pt-Tm,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.5,,
Ga-Pt-Tm,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.51,,
Hf-Ni-Zr,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,7.0,2.0,1.4142135623730951
Hf-Ni-Zr,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.7,0.02000000000000001,0.14142135623730953
Hf-Ni-Zr,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.8,0.000799999999999997,0.02828427124746185
Hf-Ni-Zr,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,4.5,0.5,0.7071067811865476
Hf-Ni-Zr,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.45,0.0049999999999999975,0.07071067811865474
Hf-Ni-Zr,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.585,0.0004500000000000008,0.021213203435596444
Hf-Ni-Zr,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,3.3333333333333335,0.33333333333333337,0.5773502691896258
Hf-Ni-Zr,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.3333333333333333,0.0033333333333333357,0.057735026918962595
Hf-Ni-Zr,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.4266666666666667,0.006633333333333335,0.08144527815247078
Hf-Ni-Zr,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,6.0,,
Hf-Ni-Zr,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.6,,
Hf-Ni-Zr,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.66,,
Mg-Sn-Sr,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,6.0,0.0,0.0
Mg-Sn-Sr,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.6,0.0,0.0
Mg-Sn-Sr,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.5800000000000001,0.003199999999999997,0.056568542494923775
Mg-Sn-Sr,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,9.5,0.5,0.7071067811865476
